key,scan,scan_ns,policy,effect,baseline_lead1,candidate_lead1,baseline_lead2,candidate_lead2
00000252--d191bee66c--0,352,107848658967,P4,LEAD_ID_CHANGED,34,90,-1,-1
00000252--d191bee66c--0,359,108548012879,P4,LEAD_COORDINATE_ONLY,90,90,-1,-1
0000025d--70dff69b9d--23,281,1479797360240,P4,LEAD_COORDINATE_ONLY,49,49,-1,-1
00000261--4ff9c41127--6,372,564348494249,P4,LEAD_COORDINATE_ONLY,36,36,-1,-1
00000261--4ff9c41127--7,415,628599048999,P4,LEAD_COORDINATE_ONLY,78,78,-1,-1
00000264--31b802e87a--1,162,149081317045,P4,LEAD_COORDINATE_ONLY,32,32,-1,-1
00000294--307ed6c5e3--1,358,204223980010,P4,LEAD_COORDINATE_ONLY,64,64,-1,-1
