policy,runs,one_scan,two_scan,three_scan,duration_n_s,duration_p50_s,duration_p90_s,duration_p95_s,duration_p99_s,duration_max_s
P0,600030,165067,130063,41547,600030,0.19907419450000002,2.5995457438000003,3.9981221334499972,11.099916203069998,61.790611447
P1,597235,163542,129729,41182,597235,0.199146085,2.5998780074,3.999466302,11.102030979380002,61.790611447
P2,598680,163959,129967,41445,598680,0.19915242100000002,2.5996853460000002,3.9988758847999994,11.100388701229999,61.790611447
P3,599683,164890,130006,41507,599683,0.199085682,2.599591804,3.9984911200000006,11.10011918594,61.790611447
P4,597235,163542,129729,41182,597235,0.199146085,2.5998780074,3.999466302,11.102030979380002,61.790611447
P5,587265,159094,129619,40840,587265,0.19909770300000001,2.7001320638000004,4.099750714400001,11.189962199159996,61.790611447
P6,598471,163910,129931,41406,598471,0.19915110700000002,2.599728184,3.9990135535,11.100442299800003,61.790611447
