policy,completed_scans,cpu_mean_us,cpu_p50_us,cpu_p95_us,cpu_p99_us,cpu_max_us,cpu_wall_s,state_peak
P0,504673,272.9067077097404,220.1,555.5,895.8,404680.8,137.72864689999778,0
P1,504673,383.09164984060135,310.8,788.3,1258.2279999999969,220969.7,193.3360122000058,32
P2,504673,381.890751833364,306.4,782.1,1244.7,288062.5,192.72995139999932,32
P3,504673,376.9390591531514,305.8,782.8,1246.455999999994,289557.8,190.23096579999836,32
P4,504673,378.8979190485652,305.5,782.0399999999966,1245.627999999997,298507.6,191.21954949999653,32
P5,504673,293.70554636368706,237.7,610.6,971.0279999999971,246338.1,148.22525920000103,0
P6,504673,385.2791661134865,311.2,790.6,1261.527999999997,430762.7,194.43999259999154,32
