key,candidate,scans,baseline_fractures,suppressed_fractures,grouping_changed_scans,member_count_changed_scans,new_merge_objects,new_split_objects,new_merge_episodes,persistent_new_merges,publication_changed_scans,representative_changes,pid_births,relaxed_edge_scans,state_peak,cpu_mean_us,cpu_p95_us,cpu_p99_us,cpu_max_us
00000243--a4d9c0a5dd--0,A_HYSTERESIS,621,41,19,41,22,44,38,22,2,517,62,506,28,40,177.49409582190674,1168.9599999999998,1867.2199999999996,64372.4
00000245--2c15eb5d45--12,A_HYSTERESIS,600,8,3,4,4,4,0,3,0,159,39,426,4,10,123.43065644785057,689.895,1171.3229999999983,50442.4
00000245--2c15eb5d45--19,A_HYSTERESIS,600,34,22,27,24,28,10,22,2,452,131,858,40,36,192.37398766872158,1370.7,2124.3,62425.3
00000245--2c15eb5d45--21,A_HYSTERESIS,600,46,31,31,17,40,25,34,2,590,167,810,36,50,220.26541152949022,1553.7,2833.331999999999,57958.7
00000245--2c15eb5d45--32,A_HYSTERESIS,600,14,6,9,7,9,2,6,1,421,27,340,12,30,133.5772447109776,781.4499999999998,1300.4799999999952,46898.7
00000245--2c15eb5d45--7,A_HYSTERESIS,600,26,2,2,2,2,0,2,0,543,172,758,3,30,152.31201866977824,986.5399999999986,1586.0239999999947,52548.6
00000247--b657952782--0,A_HYSTERESIS,619,109,55,102,82,125,68,63,8,616,111,905,99,50,190.60245557350606,1349.3149999999962,2002.342999999993,59356.7
00000247--b657952782--1,A_HYSTERESIS,600,98,48,91,68,117,78,60,10,568,135,868,86,48,188.53868978162998,1390.8399999999965,1950.0139999999926,64108.0
00000247--b657952782--10,A_HYSTERESIS,600,8,5,5,5,5,0,5,0,551,6,220,6,18,119.35048349449816,664.2299999999999,972.3319999999989,68622.1
00000247--b657952782--11,A_HYSTERESIS,600,17,11,11,11,11,0,11,0,496,10,188,15,38,137.16447850716392,768.0449999999998,1011.499,74885.8
00000247--b657952782--12,A_HYSTERESIS,600,21,11,15,14,16,3,14,0,558,39,384,25,42,138.02335778592857,806.8349999999997,1290.7299999999998,71093.1
00000247--b657952782--13,A_HYSTERESIS,600,8,4,10,2,10,8,4,1,88,76,654,4,30,177.51178726242114,1148.1749999999997,1820.5509999999995,92412.5
00000247--b657952782--14,A_HYSTERESIS,600,29,15,25,23,27,8,20,1,523,36,564,30,20,174.31042811927367,1116.949999999998,1887.9879999999998,76341.4
00000247--b657952782--15,A_HYSTERESIS,600,17,3,20,11,24,23,4,3,370,49,659,4,28,166.85489411372342,1021.9399999999998,1816.9599999999998,79786.9
00000247--b657952782--16,A_HYSTERESIS,600,3,2,2,2,2,0,2,0,353,36,540,2,16,154.40511666666688,940.1100000000004,1425.243000000001,61648.8
00000247--b657952782--17,A_HYSTERESIS,600,11,4,5,4,5,1,4,0,452,118,599,7,40,159.90579999999966,1040.3950000000002,1900.2100000000003,75218.8
00000247--b657952782--18,A_HYSTERESIS,600,17,10,15,13,15,4,10,1,524,60,751,16,12,149.27327887981295,900.0299999999983,1348.6999999999953,93272.9
00000247--b657952782--19,A_HYSTERESIS,600,25,11,14,14,14,2,11,0,479,62,809,14,14,162.28721453575585,1028.759999999999,1624.1159999999973,88871.5
00000247--b657952782--2,A_HYSTERESIS,599,64,25,32,23,35,9,25,1,562,80,751,40,26,162.759906604403,1055.875,1704.400000000001,92233.3
00000247--b657952782--20,A_HYSTERESIS,600,18,13,15,12,15,3,14,0,403,99,618,21,22,148.15520000000035,878.3650000000001,1318.2270000000008,97580.6
00000247--b657952782--21,A_HYSTERESIS,600,15,6,9,4,9,5,6,1,384,62,515,7,14,139.89021992669115,733.7599999999998,1541.1169999999984,89053.6
00000247--b657952782--22,A_HYSTERESIS,600,45,28,35,22,41,20,29,4,537,74,667,39,32,159.3949816605539,968.1399999999994,1524.5209999999975,102194.4
00000247--b657952782--23,A_HYSTERESIS,600,18,7,7,7,7,0,7,0,202,37,464,9,32,145.72024662556242,641.5,1495.4,101449.3
00000247--b657952782--24,A_HYSTERESIS,600,28,5,9,4,9,6,5,1,541,251,732,11,48,248.24283333333267,1674.3600000000001,3128.2090000000003,100478.2
00000247--b657952782--25,A_HYSTERESIS,600,34,4,4,3,4,1,4,0,125,293,753,7,42,219.0218036339395,1378.0299999999982,2733.4759999999983,113434.1
00000247--b657952782--26,A_HYSTERESIS,600,21,3,4,4,4,0,3,0,95,196,833,4,44,189.2997666277712,1187.6099999999972,2082.806,124316.1
00000247--b657952782--27,A_HYSTERESIS,600,42,5,6,5,6,1,5,0,263,248,752,11,48,223.05247458756926,1458.7,2806.3,122132.0
00000247--b657952782--28,A_HYSTERESIS,600,18,4,13,9,13,20,4,1,493,180,738,11,22,173.82522507502526,1063.33,1620.692999999999,113826.7
00000247--b657952782--29,A_HYSTERESIS,600,9,4,5,5,5,0,4,0,519,136,685,7,24,151.41356440593188,931.0,1600.1,94800.2
00000247--b657952782--3,A_HYSTERESIS,600,19,9,13,13,13,2,10,1,558,34,293,17,22,139.46851574212891,623.1999999999992,1569.5959999999977,112955.2
00000247--b657952782--30,A_HYSTERESIS,599,8,4,4,2,4,2,4,0,19,57,497,6,24,129.86902300766909,675.394999999998,1064.4379999999987,136881.5
00000247--b657952782--31,A_HYSTERESIS,600,20,7,16,15,16,13,9,1,590,139,511,14,54,176.34146951016348,1078.1899999999994,2127.6669999999904,116026.5
00000247--b657952782--32,A_HYSTERESIS,599,7,2,5,2,7,5,3,1,161,83,655,4,32,222.69470000000095,1433.01,2640.033000000014,127494.4
00000247--b657952782--33,A_HYSTERESIS,599,18,12,17,14,17,3,12,1,134,34,392,21,30,168.0748041993002,861.0,1976.3,136526.2
00000247--b657952782--34,A_HYSTERESIS,599,2,1,1,0,1,1,1,0,1,5,198,3,26,117.14323333333347,702.5300000000001,1061.4860000000065,3233.4
00000247--b657952782--35,A_HYSTERESIS,599,23,11,22,17,24,12,14,3,531,36,411,17,26,150.9771371438093,720.0,1608.6,137087.4
00000247--b657952782--36,A_HYSTERESIS,599,14,5,7,5,7,2,6,0,515,43,415,5,18,166.78980169971658,1028.3,1626.1,139735.2
00000247--b657952782--37,A_HYSTERESIS,599,7,3,6,6,6,0,4,1,50,20,237,7,22,129.3262666666668,565.8100000000005,1095.543000000001,129218.6
00000247--b657952782--38,A_HYSTERESIS,599,48,28,42,26,48,27,31,3,538,77,866,42,42,199.81203132811163,1271.6,2009.6,141685.3
00000247--b657952782--39,A_HYSTERESIS,585,67,15,32,22,40,21,25,3,555,38,455,47,46,183.7822369539351,1098.8599999999994,1665.166000000007,138763.7
00000247--b657952782--4,A_HYSTERESIS,599,11,3,3,3,3,0,3,0,96,15,246,8,18,138.65803333333392,802.91,1103.1310000000005,55898.8
00000247--b657952782--5,A_HYSTERESIS,599,33,14,44,19,45,25,17,3,590,63,538,38,40,176.32526666666652,1117.02,2102.3130000000024,55616.3
00000247--b657952782--6,A_HYSTERESIS,600,47,30,46,35,56,39,32,2,567,83,621,47,44,150.19000166638892,923.4,1780.3,52496.8
00000247--b657952782--7,A_HYSTERESIS,600,30,17,29,19,30,17,24,1,565,46,336,27,14,129.94775795965998,685.9399999999998,1340.137999999999,58375.3
00000247--b657952782--8,A_HYSTERESIS,599,16,10,59,52,61,51,14,7,349,18,211,32,32,145.89196264799065,948.9399999999999,1342.572,50754.1
00000247--b657952782--9,A_HYSTERESIS,600,16,15,24,19,24,12,16,2,577,14,144,34,30,124.27727424191937,699.7949999999998,1081.6809999999998,49487.7
00000250--8354d55131--0,A_HYSTERESIS,621,88,38,56,41,58,24,43,2,431,59,446,73,46,152.82752203721853,708.8750000000001,2284.2,48376.4
00000250--8354d55131--1,A_HYSTERESIS,599,91,34,56,39,65,33,40,6,594,91,924,71,40,152.2515741367636,1020.7999999999993,1747.3290000000047,43166.7
00000250--8354d55131--2,A_HYSTERESIS,377,1,1,2,2,2,0,1,0,122,1,72,3,8,80.32376681614383,409.35,544.4499999999998,2494.2
00000252--d191bee66c--0,A_HYSTERESIS,617,70,29,50,38,75,39,40,9,262,57,363,55,46,135.8816540859862,595.5749999999997,1683.631999999995,72638.7
00000252--d191bee66c--1,A_HYSTERESIS,600,47,17,43,31,48,30,24,8,563,38,436,35,38,124.59470342522965,575.88,1398.1439999999993,73563.4
00000252--d191bee66c--2,A_HYSTERESIS,333,1,0,0,0,0,0,0,0,0,3,86,1,10,71.72658718330848,361.3699999999998,575.7180000000003,1425.1
00000254--0ac259250e--0,A_HYSTERESIS,620,71,32,63,43,69,35,41,4,342,56,485,69,44,141.3220595412396,638.7099999999999,1643.802,77960.2
00000254--0ac259250e--1,A_HYSTERESIS,600,97,64,118,99,137,72,73,8,594,88,823,97,40,198.0679124579121,1359.9800000000005,2084.661,88373.4
00000254--0ac259250e--10,A_HYSTERESIS,599,10,5,22,4,24,20,5,1,144,27,399,8,26,136.56694532686814,809.7,1284.5799999999979,57036.7
00000254--0ac259250e--11,A_HYSTERESIS,599,40,23,163,68,186,163,28,10,580,78,911,46,44,190.33629518072237,1207.2,1924.1499999999999,100052.3
00000254--0ac259250e--12,A_HYSTERESIS,600,51,27,67,41,71,44,34,4,586,106,756,37,54,191.65340928128649,1287.579999999999,2017.8559999999998,80916.9
00000254--0ac259250e--13,A_HYSTERESIS,600,8,6,44,44,44,39,8,1,567,1,122,8,18,118.47687052157967,664.1,878.9,79785.4
00000254--0ac259250e--14,A_HYSTERESIS,600,15,10,10,9,10,3,10,0,203,37,410,15,26,159.44799133188872,919.9799999999979,1708.7579999999987,90143.7
00000254--0ac259250e--15,A_HYSTERESIS,600,6,4,4,4,4,0,4,0,489,26,275,5,32,153.25102517086182,879.8699999999991,1479.881999999998,96442.8
00000254--0ac259250e--16,A_HYSTERESIS,600,10,4,6,6,6,0,4,0,177,5,223,6,22,156.32195934688446,957.9849999999999,1217.851999999999,95349.9
00000254--0ac259250e--17,A_HYSTERESIS,600,30,25,19,12,28,14,28,0,397,67,515,31,44,189.93434599156134,1200.8,2226.912000000001,81055.3
00000254--0ac259250e--18,A_HYSTERESIS,600,30,14,19,18,20,2,14,1,431,27,593,20,22,200.20118432026769,1390.5500000000002,1742.386000000001,101119.5
00000254--0ac259250e--19,A_HYSTERESIS,600,33,15,66,25,86,63,18,7,487,160,656,33,64,191.99127260083378,1041.925,2396.7859999999996,120814.5
00000254--0ac259250e--2,A_HYSTERESIS,599,120,66,146,93,172,111,79,13,592,108,812,113,56,211.49061765693116,1522.2499999999995,2142.535000000001,89637.3
00000254--0ac259250e--20,A_HYSTERESIS,600,47,22,54,24,57,36,22,2,461,100,842,31,34,205.19971548117144,1382.19,2078.130000000001,113093.5
00000254--0ac259250e--21,A_HYSTERESIS,599,112,38,63,51,69,25,43,7,591,37,893,56,24,259.2792582648104,1746.879999999999,2197.994,151146.5
00000254--0ac259250e--22,A_HYSTERESIS,600,32,16,19,15,19,4,16,1,565,68,688,28,36,193.65068884408652,1239.5649999999996,1950.105999999998,104091.4
00000254--0ac259250e--23,A_HYSTERESIS,600,55,34,85,52,107,55,36,4,569,96,575,48,38,178.42346956079382,966.0799999999994,2216.216,98140.5
00000254--0ac259250e--24,A_HYSTERESIS,600,50,33,58,37,64,27,34,5,593,82,683,48,32,203.1858299595144,1293.595,2257.4679999999994,114488.9
00000254--0ac259250e--25,A_HYSTERESIS,600,52,39,391,39,607,580,43,10,583,47,457,55,40,233.61644155410914,1650.1599999999999,2268.448,133833.8
00000254--0ac259250e--26,A_HYSTERESIS,600,58,31,46,31,48,23,36,2,521,100,634,52,46,163.2607947904491,1076.6199999999985,1742.2759999999998,96439.3
00000254--0ac259250e--27,A_HYSTERESIS,600,74,28,36,28,39,13,29,3,512,24,800,47,24,184.97353039412138,1221.0099999999995,1748.1,128086.4
00000254--0ac259250e--28,A_HYSTERESIS,600,74,38,54,50,56,8,39,3,558,40,683,60,26,193.01035231257308,1275.7799999999982,1866.6519999999991,129657.8
00000254--0ac259250e--29,A_HYSTERESIS,600,51,25,43,24,45,22,27,3,524,149,634,38,52,198.81196431694977,1176.1799999999998,2598.7120000000086,110053.3
00000254--0ac259250e--3,A_HYSTERESIS,599,73,39,71,48,89,46,48,6,575,53,678,72,44,178.4635191695963,1074.1399999999999,1741.096,133285.1
00000254--0ac259250e--30,A_HYSTERESIS,599,30,16,43,38,77,74,23,7,522,114,602,29,66,196.31275372124537,1133.6349999999986,2121.867,140147.2
00000254--0ac259250e--31,A_HYSTERESIS,600,2,1,1,1,1,0,1,0,539,1,161,1,8,130.83899350108342,684.2,926.0,124390.9
00000254--0ac259250e--32,A_HYSTERESIS,600,1,1,2,2,2,0,1,0,2,2,170,2,14,122.96847192134628,574.9,896.9,135316.5
00000254--0ac259250e--33,A_HYSTERESIS,600,26,11,13,12,13,1,12,0,541,61,525,15,22,193.03334447601512,1092.7199999999998,1929.7500000000007,125711.6
00000254--0ac259250e--34,A_HYSTERESIS,600,46,25,56,35,95,66,37,8,553,85,598,45,34,145.9280060120243,909.5349999999986,1470.5690000000002,51794.7
00000254--0ac259250e--35,A_HYSTERESIS,600,47,22,131,108,216,118,37,11,515,37,442,56,40,161.03565217391338,1030.3600000000008,1682.1030000000005,42791.7
00000254--0ac259250e--36,A_HYSTERESIS,600,16,9,16,10,16,7,10,2,201,11,203,16,20,130.08606898850215,709.4,1128.3,50393.3
00000254--0ac259250e--37,A_HYSTERESIS,600,90,46,126,102,168,112,60,10,596,89,803,105,46,212.243569023569,1503.6,2182.7149999999997,58009.4
00000254--0ac259250e--38,A_HYSTERESIS,600,128,60,126,99,220,139,79,8,588,91,732,129,58,243.04709292412636,1737.3800000000003,2675.455999999999,68430.1
00000254--0ac259250e--39,A_HYSTERESIS,600,43,20,26,23,26,3,21,1,442,31,359,52,30,152.78889814969077,996.079999999999,1479.679999999998,51494.3
00000254--0ac259250e--4,A_HYSTERESIS,600,27,16,20,16,20,4,16,2,454,27,390,28,24,160.03428238428233,957.05,1656.9999999999995,51273.2
00000254--0ac259250e--40,A_HYSTERESIS,600,105,45,73,56,83,39,56,6,583,82,730,97,60,203.81787341772085,1472.8600000000001,2243.764000000004,72147.3
00000254--0ac259250e--41,A_HYSTERESIS,600,55,23,28,26,33,3,23,1,487,56,658,44,42,139.04882166137426,852.2599999999999,1566.9520000000061,49503.7
00000254--0ac259250e--42,A_HYSTERESIS,152,34,9,36,28,44,29,22,8,139,25,114,32,44,131.6401960784315,864.9149999999998,1679.5560000000005,3368.1
00000254--0ac259250e--5,A_HYSTERESIS,599,42,19,25,19,26,6,19,0,591,76,672,29,24,195.2524870205997,1276.25,2003.3500000000013,86823.8
00000254--0ac259250e--6,A_HYSTERESIS,599,24,13,40,23,51,55,15,5,580,37,279,21,42,158.27258445945924,787.3050000000005,1925.7360000000024,81320.6
00000254--0ac259250e--7,A_HYSTERESIS,599,0,0,0,0,0,0,0,0,0,0,72,0,2,96.43041374708058,532.8699999999999,665.0349999999999,2596.4
00000254--0ac259250e--8,A_HYSTERESIS,600,38,17,33,20,34,19,19,2,505,84,603,38,30,164.3435117056852,899.1750000000006,1932.5240000000001,81891.4
00000254--0ac259250e--9,A_HYSTERESIS,600,29,21,20,16,23,5,23,0,590,22,168,28,32,120.13253676470562,548.9249999999997,1246.2520000000004,80025.6
00000255--d1d0ee73c5--21,A_HYSTERESIS,599,6,3,4,3,4,1,3,0,78,5,196,5,10,113.98168333333346,623.0800000000003,857.3350000000007,65400.5
00000255--d1d0ee73c5--22,A_HYSTERESIS,599,5,3,5,5,5,1,3,1,487,28,302,6,20,148.4710195881468,730.179999999999,1661.9919999999977,66275.2
00000255--d1d0ee73c5--23,A_HYSTERESIS,599,10,5,6,3,6,3,5,0,330,38,275,7,32,146.716903290463,731.5799999999999,1608.1540000000005,96882.2
00000255--d1d0ee73c5--24,A_HYSTERESIS,600,16,7,8,7,8,1,7,0,529,46,402,12,28,133.68523602276534,722.4199999999994,1257.2,97969.8
00000255--d1d0ee73c5--25,A_HYSTERESIS,599,16,10,14,12,14,2,10,0,508,19,181,17,20,132.39663389435088,585.3,1295.0,98658.4
00000255--d1d0ee73c5--26,A_HYSTERESIS,599,0,0,0,0,0,0,0,0,0,0,23,7,4,99.37336666666658,473.0200000000001,577.0060000000001,92277.3
00000255--d1d0ee73c5--27,A_HYSTERESIS,600,17,10,20,14,20,9,14,1,356,54,387,17,34,149.87639075066963,806.06,1612.8699999999994,98803.5
00000255--d1d0ee73c5--28,A_HYSTERESIS,599,19,7,11,5,11,6,7,2,554,80,577,11,22,163.11220163578662,914.5,1536.400000000002,103993.9
00000255--d1d0ee73c5--29,A_HYSTERESIS,600,7,4,4,4,4,0,4,0,213,43,530,4,14,137.59176666666713,822.845,1379.1,84431.5
00000255--d1d0ee73c5--30,A_HYSTERESIS,600,29,8,10,9,10,1,9,0,485,167,850,14,40,185.24426675740017,1187.8949999999995,2087.8489999999974,94140.9
00000255--d1d0ee73c5--31,A_HYSTERESIS,600,15,5,5,4,5,1,5,0,102,37,423,6,26,145.031017203942,667.2099999999998,1776.7660000000021,106994.7
00000255--d1d0ee73c5--32,A_HYSTERESIS,600,9,6,6,6,6,0,6,0,86,21,334,7,10,148.55396666666664,755.0100000000003,1391.5270000000028,106851.2
00000255--d1d0ee73c5--33,A_HYSTERESIS,600,22,16,46,29,56,27,22,4,595,79,455,28,30,157.85750627615116,853.5000000000007,1621.2800000000018,131538.5
00000255--d1d0ee73c5--34,A_HYSTERESIS,600,35,18,40,22,40,18,18,4,337,29,591,46,32,176.87497081874344,1079.8399999999997,1749.1399999999994,117641.5
00000255--d1d0ee73c5--35,A_HYSTERESIS,600,56,32,100,63,109,93,36,6,589,93,582,62,52,172.42142017794203,971.4599999999997,1877.9399999999887,105223.9
00000255--d1d0ee73c5--36,A_HYSTERESIS,600,11,5,36,4,36,32,6,2,576,4,217,21,20,147.12712881186468,876.2,1231.9,103132.2
00000255--d1d0ee73c5--37,A_HYSTERESIS,600,34,22,41,21,43,22,24,1,457,37,478,28,30,178.42218885552188,1090.8849999999993,1699.9359999999983,122978.8
00000255--d1d0ee73c5--38,A_HYSTERESIS,600,52,29,45,30,47,17,29,5,530,71,715,45,36,204.07754931461037,1318.6649999999995,1965.7649999999985,131188.3
00000255--d1d0ee73c5--39,A_HYSTERESIS,600,104,53,164,86,224,152,61,15,569,123,851,84,44,202.18467593367936,1300.4499999999998,2251.5100000000066,114643.3
00000255--d1d0ee73c5--40,A_HYSTERESIS,420,30,11,16,15,16,3,13,0,416,28,318,24,34,117.86991424487849,646.3399999999995,1335.144999999997,3788.1
00000257--d1cacb63a0--0,A_HYSTERESIS,619,82,38,63,44,71,36,44,5,489,80,577,69,52,132.8895870445345,628.2199999999998,1968.1980000000017,48951.6
00000257--d1cacb63a0--1,A_HYSTERESIS,600,59,38,135,64,142,113,42,8,576,43,552,62,36,166.170978496416,989.1299999999987,1614.241999999999,115464.1
00000257--d1cacb63a0--10,A_HYSTERESIS,599,2,1,1,1,1,0,1,0,1,12,190,1,20,112.15890000000037,469.6450000000002,904.3420000000009,124285.4
00000257--d1cacb63a0--11,A_HYSTERESIS,600,11,8,31,15,38,23,13,4,166,40,235,13,34,146.98786666666675,601.325,1829.3620000000058,122743.7
00000257--d1cacb63a0--12,A_HYSTERESIS,599,32,12,16,9,17,8,13,1,525,103,638,19,38,214.50171781187444,1339.3249999999998,2488.4400000000014,138990.9
00000257--d1cacb63a0--13,A_HYSTERESIS,600,29,16,20,12,20,9,16,0,479,58,533,23,22,168.1712689678172,1098.6399999999996,1735.228,49997.6
00000257--d1cacb63a0--14,A_HYSTERESIS,599,63,28,66,51,106,66,32,6,494,314,871,65,60,246.3562948140736,1708.2599999999998,2876.2879999999996,137619.0
00000257--d1cacb63a0--15,A_HYSTERESIS,600,43,28,37,34,37,5,29,1,572,60,476,54,28,132.02347550816378,844.9349999999995,1338.4779999999996,55710.9
00000257--d1cacb63a0--16,A_HYSTERESIS,600,47,30,75,53,86,68,41,7,589,78,471,62,54,236.64446666666655,1793.6650000000006,2558.5220000000004,79759.9
00000257--d1cacb63a0--17,A_HYSTERESIS,600,27,16,23,21,23,2,19,1,542,28,485,33,28,169.4390934844188,1169.6,1816.0,54565.1
00000257--d1cacb63a0--18,A_HYSTERESIS,600,19,6,8,8,8,1,6,0,567,41,659,8,28,196.6811635272543,1407.0999999999995,1946.6179999999995,69986.4
00000257--d1cacb63a0--19,A_HYSTERESIS,600,15,8,12,8,12,7,9,1,552,26,344,20,18,143.39859953317801,874.9799999999996,1413.403,51636.0
00000257--d1cacb63a0--2,A_HYSTERESIS,600,38,18,34,16,35,20,18,2,491,71,530,34,40,167.03737289548226,1002.1099999999999,1890.1239999999993,73874.7
00000257--d1cacb63a0--20,A_HYSTERESIS,600,6,1,1,1,1,0,1,0,1,5,171,4,12,104.92877374208618,549.4849999999997,781.048999999999,64726.2
00000257--d1cacb63a0--21,A_HYSTERESIS,600,19,11,11,11,12,1,11,0,592,54,479,15,38,144.4829971661944,820.8599999999996,1555.7399999999966,54938.3
00000257--d1cacb63a0--22,A_HYSTERESIS,600,55,18,26,21,27,5,20,0,497,278,743,41,56,231.6718103883009,1379.259999999998,3076.647999999993,88874.5
00000257--d1cacb63a0--23,A_HYSTERESIS,600,34,13,15,10,17,6,13,0,389,32,520,23,30,164.00653333333295,1133.38,1798.6460000000009,75555.5
00000257--d1cacb63a0--24,A_HYSTERESIS,600,25,10,18,7,18,13,10,3,464,69,668,22,36,185.04508333333342,1263.12,1823.0240000000006,83684.5
00000257--d1cacb63a0--25,A_HYSTERESIS,600,44,24,65,21,68,51,29,2,588,248,833,43,52,227.54682023034724,1608.8000000000002,2444.0900000000083,94810.1
00000257--d1cacb63a0--26,A_HYSTERESIS,600,37,26,35,21,39,22,28,3,530,86,593,41,36,173.0198399466485,1113.7549999999994,1991.8229999999992,84557.0
00000257--d1cacb63a0--27,A_HYSTERESIS,600,43,24,28,27,29,5,25,0,505,49,431,37,42,173.1119059529763,1062.9399999999998,1885.024,91088.8
00000257--d1cacb63a0--28,A_HYSTERESIS,600,62,39,48,44,49,13,40,1,593,264,910,71,66,252.50586862287474,1703.6949999999995,2758.4959999999996,116438.5
00000257--d1cacb63a0--29,A_HYSTERESIS,599,53,30,52,45,60,31,34,5,574,95,603,47,58,195.15361134278575,1246.71,2439.6300000000024,88773.2
00000257--d1cacb63a0--3,A_HYSTERESIS,600,14,7,8,6,11,2,7,2,259,101,452,24,36,181.83490581763613,963.3199999999998,2332.6439999999943,75777.2
00000257--d1cacb63a0--30,A_HYSTERESIS,600,89,42,115,50,125,96,51,5,542,96,822,86,46,198.86259376562776,1382.469999999997,2328.2999999999856,117178.7
00000257--d1cacb63a0--31,A_HYSTERESIS,431,12,8,18,7,18,11,8,2,363,8,106,12,26,87.67477477477476,477.99999999999943,772.3120000000011,2950.2
00000257--d1cacb63a0--4,A_HYSTERESIS,600,24,11,13,9,14,6,12,0,212,111,508,19,44,171.20273378896476,778.01,2311.5559999999987,95817.2
00000257--d1cacb63a0--5,A_HYSTERESIS,600,29,20,22,21,23,2,20,1,546,64,573,30,38,168.6629500000002,1075.9550000000004,1862.7340000000008,100152.9
00000257--d1cacb63a0--6,A_HYSTERESIS,599,42,25,29,26,32,5,25,1,487,60,490,38,46,196.45007501250137,1250.529999999997,2011.927999999997,123588.4
00000257--d1cacb63a0--7,A_HYSTERESIS,599,58,24,59,25,80,63,30,2,508,237,745,50,60,230.43570000000042,1645.9200000000003,2869.432000000005,126571.3
00000257--d1cacb63a0--8,A_HYSTERESIS,599,42,18,23,23,23,2,18,0,481,42,743,28,28,248.25558519506487,1697.7149999999992,2346.5069999999955,123032.0
00000257--d1cacb63a0--9,A_HYSTERESIS,599,31,14,28,16,29,13,18,2,497,71,658,31,30,194.22896183969354,1309.7,2028.2,121968.2
00000259--f920fb6ddd--0,A_HYSTERESIS,622,119,53,128,90,164,115,72,12,622,78,801,91,52,188.1265828902846,1267.639999999998,1978.2839999999944,76163.5
00000259--f920fb6ddd--1,A_HYSTERESIS,600,36,20,33,22,34,16,23,1,553,36,352,37,40,185.86244775121207,1113.1,1931.4199999999985,138607.0
00000259--f920fb6ddd--10,A_HYSTERESIS,600,24,9,11,9,11,2,9,0,297,122,790,20,42,219.32005000000012,1476.9750000000004,2286.4300000000007,120528.2
00000259--f920fb6ddd--11,A_HYSTERESIS,600,17,11,15,13,15,2,11,0,484,33,409,17,30,162.29576666666625,871.1300000000001,1639.6700000000037,122336.8
00000259--f920fb6ddd--12,A_HYSTERESIS,600,7,2,3,3,3,0,3,0,33,16,190,3,38,123.78146975504086,459.1,1133.1,139808.0
00000259--f920fb6ddd--13,A_HYSTERESIS,600,42,17,26,13,28,14,17,3,539,172,902,26,50,213.05586666666616,1483.3850000000002,2467.1930000000043,143360.7
00000259--f920fb6ddd--14,A_HYSTERESIS,600,11,9,10,9,10,1,9,0,498,92,510,11,36,178.40758080639839,946.9799999999999,2219.1959999999976,121091.7
00000259--f920fb6ddd--15,A_HYSTERESIS,600,21,2,4,4,4,0,2,1,199,120,642,4,30,227.42856666666677,1249.345,2696.927000000003,139358.1
00000259--f920fb6ddd--16,A_HYSTERESIS,599,8,3,9,4,10,8,4,1,137,31,438,11,18,197.15958333333379,1261.8950000000002,1854.3390000000006,120404.9
00000259--f920fb6ddd--17,A_HYSTERESIS,600,19,12,13,11,13,2,12,0,235,53,545,14,24,166.63046666666625,1064.420000000001,1811.0090000000002,54138.3
00000259--f920fb6ddd--18,A_HYSTERESIS,600,23,15,17,17,17,0,15,0,524,54,843,18,20,241.42116666666647,1483.7050000000002,1957.0710000000015,183239.8
00000259--f920fb6ddd--19,A_HYSTERESIS,599,73,22,35,29,36,7,23,2,582,437,997,40,52,318.7138023003838,2068.939999999994,3783.6059999999998,180407.1
00000259--f920fb6ddd--2,A_HYSTERESIS,600,37,27,53,26,55,32,27,3,552,15,242,46,32,159.13752906011354,1071.9599999999998,1646.723,48218.9
00000259--f920fb6ddd--20,A_HYSTERESIS,600,89,60,49,29,62,32,61,0,539,144,829,61,54,229.1552407932015,1456.1,2681.1,136596.3
00000259--f920fb6ddd--21,A_HYSTERESIS,599,15,1,1,1,1,0,1,0,156,74,567,3,26,182.04749124854126,1115.9999999999995,2153.521999999992,62025.0
00000259--f920fb6ddd--22,A_HYSTERESIS,599,7,2,2,2,2,0,2,0,21,34,464,3,24,174.2941656942821,985.8399999999993,1753.4119999999998,130495.3
00000259--f920fb6ddd--23,A_HYSTERESIS,599,56,31,66,39,87,68,40,8,556,98,723,45,58,166.06025000000017,1051.4050000000002,1963.8640000000012,51204.9
00000259--f920fb6ddd--24,A_HYSTERESIS,599,15,10,16,10,16,6,10,1,232,22,551,14,22,143.64686666666657,755.7650000000003,1604.544000000001,76539.7
00000259--f920fb6ddd--25,A_HYSTERESIS,600,36,12,18,13,20,7,13,2,588,142,672,28,40,166.71698050324915,878.0,2019.3,75420.5
00000259--f920fb6ddd--26,A_HYSTERESIS,598,20,9,19,10,19,9,9,1,565,81,650,14,14,135.06789464910756,774.8099999999988,1182.8299999999992,50012.0
00000259--f920fb6ddd--27,A_HYSTERESIS,599,25,7,8,8,8,0,7,0,371,70,658,13,12,138.14995000000008,897.3950000000002,1264.2290000000007,51470.6
00000259--f920fb6ddd--28,A_HYSTERESIS,600,11,5,9,9,9,6,5,1,597,60,728,7,16,155.58831666666666,957.0350000000001,1342.6780000000017,74784.6
00000259--f920fb6ddd--29,A_HYSTERESIS,600,8,2,3,3,3,0,2,0,555,73,630,3,16,146.71329778370304,875.4,1378.7,71985.0
00000259--f920fb6ddd--3,A_HYSTERESIS,600,37,18,22,18,23,7,20,1,582,49,701,24,28,150.00111517975995,955.4249999999997,1594.3040000000008,56719.8
