key,candidate,scans,baseline_fractures,suppressed_fractures,grouping_changed_scans,member_count_changed_scans,new_merge_objects,new_split_objects,new_merge_episodes,persistent_new_merges,publication_changed_scans,representative_changes,pid_births,relaxed_edge_scans,state_peak,cpu_mean_us,cpu_p95_us,cpu_p99_us,cpu_max_us
0000027f--cb2a133365--25,C_QUANTIZED,599,35,11,30,11,30,25,12,1,503,81,558,24,34,180.41017175254257,1073.92,2115.932,71387.5
0000027f--cb2a133365--26,C_QUANTIZED,600,25,17,28,28,28,11,18,1,540,44,336,27,36,172.09781666666692,1064.3049999999998,1684.3210000000004,89705.2
0000027f--cb2a133365--27,C_QUANTIZED,599,21,11,11,9,11,2,11,0,104,27,267,23,40,140.32080693564546,836.1549999999986,1316.4469999999985,63904.5
0000027f--cb2a133365--3,C_QUANTIZED,600,6,0,0,0,0,0,0,0,0,13,237,0,18,130.39578403599424,716.7,999.9,97636.8
0000027f--cb2a133365--4,C_QUANTIZED,600,33,9,51,24,84,81,17,5,118,34,404,19,50,144.8491751374769,777.2,1637.2,80449.2
0000027f--cb2a133365--5,C_QUANTIZED,600,7,2,2,2,2,0,2,0,2,17,341,6,30,134.78928154692423,713.2099999999989,1205.2479999999941,104643.7
0000027f--cb2a133365--6,C_QUANTIZED,600,26,7,6,6,7,2,7,0,513,89,517,6,46,177.8902182969499,952.8,2510.0,80632.5
0000027f--cb2a133365--7,C_QUANTIZED,600,7,3,3,2,3,1,3,0,551,19,273,4,28,135.61113333333327,619.1050000000007,1372.1080000000002,128071.3
0000027f--cb2a133365--8,C_QUANTIZED,600,10,5,5,3,5,2,5,0,432,152,594,10,46,224.70376792264153,1517.729999999999,2875.7039999999984,84972.6
0000027f--cb2a133365--9,C_QUANTIZED,600,31,14,14,14,14,0,14,0,14,2,130,18,20,124.888087304232,612.7449999999997,815.0919999999999,123057.8
00000280--91181081d4--10,C_QUANTIZED,600,7,5,5,5,5,0,5,0,211,72,538,6,22,136.55465910985214,750.089999999999,1275.7299999999968,73352.4
00000280--91181081d4--11,C_QUANTIZED,600,19,8,8,8,8,0,8,0,422,77,629,8,36,182.40913181136457,1092.4,1782.3,139503.5
00000280--91181081d4--12,C_QUANTIZED,600,8,0,0,0,0,0,0,0,0,28,441,0,28,156.09861689718403,863.5,1534.5,108386.4
