candidate,segments,updates,mean_us,p50_us,p95_us,p99_us,max_us,wall_s,A1M_CPU
BASELINE,24,144393,145.2619849992731,21.7,762.7,1564.7,210915.9,66.63536680012476,NOT MEASURED
A_HYSTERESIS,24,144393,152.093612571245,22.0,784.0399999999995,1642.207999999999,238647.8,66.53748739993898,NOT MEASURED
B_CONFIRMATION,24,144393,149.73154723567148,21.7,786.0,1604.3799999999871,207962.7,66.6853746000561,NOT MEASURED
C_QUANTIZED,24,144393,150.27659304813704,21.9,795.3399999999993,1609.0159999999973,192055.9,67.45331459998852,NOT MEASURED
D_STABLE_CORE,24,144393,146.18863102782151,21.6,767.1399999999994,1558.0079999999987,217138.6,65.50945510005113,NOT MEASURED
E_REP_HOLD,24,144393,145.87750721987737,21.6,753.2,1601.8039999999835,230887.1,65.26295450015459,NOT MEASURED
