family_id,key,route,segment,raw_pair,parent_member_sets,split_count,rejoin_count,median_split_interval_s,max_split_interval_s,median_rejoin_latency_s,pid_births,representative_retained,boundary_causes,publication_visible,internal_only
0000026a--171a0a1f5c--25:331|335,0000026a--171a0a1f5c--25,0000026a,25,331|335,331|335,2,1,0.700411765,0.700411765,0.600635839,2,2,"{""DISTANCE_DIAMETER"":2}",2,0
0000026a--171a0a1f5c--26:334|367,0000026a--171a0a1f5c--26,0000026a,26,334|367,334|367,2,1,2.699585987,2.699585987,0.199466877,2,2,"{""DISTANCE_DIAMETER"":1,""LATERAL_GROWTH"":1}",2,0
0000026a--171a0a1f5c--27:331|351,0000026a--171a0a1f5c--27,0000026a,27,331|351,331|351,2,1,1.701112993,1.701112993,0.100670485,2,2,"{""DISTANCE_DIAMETER"":1,""LATERAL_GROWTH"":1}",2,0
0000026a--171a0a1f5c--27:706|720,0000026a--171a0a1f5c--27,0000026a,27,706|720,706|720,3,2,1.0502352825,1.099881609,0.799939381,3,3,"{""DISTANCE_DIAMETER"":3}",3,0
0000026a--171a0a1f5c--28:101|142,0000026a--171a0a1f5c--28,0000026a,28,101|142,101|142,3,2,0.9499764129999999,1.198781932,0.5993417585,3,3,"{""LATERAL_DIAMETER"":3}",3,0
0000026a--171a0a1f5c--28:110|112,0000026a--171a0a1f5c--28,0000026a,28,110|112,110|112;110|112|126,2,1,0.801436568,0.801436568,0.099136948,2,2,"{""DISTANCE_GROWTH"":2}",2,0
0000026a--171a0a1f5c--28:117|122,0000026a--171a0a1f5c--28,0000026a,28,117|122,117|122,2,1,0.500105938,0.500105938,0.30057952,2,2,"{""LATERAL_DIAMETER"":2}",2,0
0000026a--171a0a1f5c--28:122|185,0000026a--171a0a1f5c--28,0000026a,28,122|185,122|185|189;122|185|234,3,1,1.1499762645,1.699878582,0.30270847,3,3,"{""LATERAL_DIAMETER"":3}",3,0
0000026a--171a0a1f5c--28:122|189,0000026a--171a0a1f5c--28,0000026a,28,122|189,122|185|189,2,2,1.00062559,1.00062559,0.5504552899999999,2,0,"{""LATERAL_DIAMETER"":2}",2,0
0000026a--171a0a1f5c--29:140|156,0000026a--171a0a1f5c--29,0000026a,29,140|156,140|156,4,3,1.999330798,3.800676114,0.599618118,4,4,"{""LATERAL_DIAMETER"":3,""LATERAL_GROWTH"":1}",4,0
0000026a--171a0a1f5c--29:156|284,0000026a--171a0a1f5c--29,0000026a,29,156|284,156|284,4,3,0.699860663,1.100704113,0.30044194,4,4,"{""LATERAL_DIAMETER"":2,""LATERAL_GROWTH"":2}",4,0
0000026a--171a0a1f5c--29:461|466,0000026a--171a0a1f5c--29,0000026a,29,461|466,461|466,3,2,0.7488061109999999,0.899869255,0.4986415365,3,3,"{""DISTANCE_DIAMETER"":3}",3,0
0000026a--171a0a1f5c--29:58|157,0000026a--171a0a1f5c--29,0000026a,29,58|157,58|157,3,2,0.45048102,0.500466301,0.1501837995,3,3,"{""LATERAL_DIAMETER"":1,""LATERAL_GROWTH"":2}",3,0
0000026a--171a0a1f5c--29:64|89,0000026a--171a0a1f5c--29,0000026a,29,64|89,64|89;64|89|123,2,0,26.600584124,26.600584124,,2,1,"{""DISTANCE_DIAMETER"":1,""DISTANCE_GROWTH"":1}",2,0
0000026a--171a0a1f5c--29:9|149,0000026a--171a0a1f5c--29,0000026a,29,9|149,9|149,3,3,1.350243901,1.998606376,1.499327248,3,3,"{""LATERAL_DIAMETER"":3}",3,0
0000026a--171a0a1f5c--3:227|232,0000026a--171a0a1f5c--3,0000026a,3,227|232,227|232;227|232|265,4,2,0.400160887,4.00106895,0.2992404515,4,3,"{""DISTANCE_DIAMETER"":4}",4,0
0000026a--171a0a1f5c--3:232|327,0000026a--171a0a1f5c--3,0000026a,3,232|327,232|327,3,2,1.5498852195000001,2.000116171,0.9004567315,3,3,"{""DISTANCE_DIAMETER"":3}",3,0
0000026a--171a0a1f5c--3:298|345,0000026a--171a0a1f5c--3,0000026a,3,298|345,298|345,2,1,1.899701757,1.899701757,0.599816595,2,2,"{""DISTANCE_DIAMETER"":1,""LATERAL_DIAMETER"":1}",2,0
0000026a--171a0a1f5c--3:314|339,0000026a--171a0a1f5c--3,0000026a,3,314|339,314|339,2,1,0.600756464,0.600756464,0.300216547,2,2,"{""LATERAL_GROWTH"":1,""VELOCITY_DIAMETER"":1}",2,0
0000026a--171a0a1f5c--3:756|809,0000026a--171a0a1f5c--3,0000026a,3,756|809,756|809,2,2,0.398413476,0.398413476,0.49917601200000006,2,2,"{""LATERAL_DIAMETER"":2}",2,0
0000026a--171a0a1f5c--3:9|15,0000026a--171a0a1f5c--3,0000026a,3,9|15,9|15,3,3,1.2509850120000001,2.299583124,0.199938718,3,3,"{""DISTANCE_DIAMETER"":1,""DISTANCE_GROWTH"":1,""LATERAL_GROWTH"":1}",3,0
0000026a--171a0a1f5c--30:494|514,0000026a--171a0a1f5c--30,0000026a,30,494|514,494|514,2,1,0.399628552,0.399628552,0.299748224,2,2,"{""DISTANCE_DIAMETER"":2}",2,0
0000026a--171a0a1f5c--30:51|75,0000026a--171a0a1f5c--30,0000026a,30,51|75,51|75,2,1,0.900449351,0.900449351,0.502020825,1,1,"{""DISTANCE_DIAMETER"":2}",2,0
0000026a--171a0a1f5c--30:550|552,0000026a--171a0a1f5c--30,0000026a,30,550|552,550|552;550|552|593,4,3,0.999948869,2.399698041,0.499071817,4,4,"{""DISTANCE_DIAMETER"":3,""DISTANCE_GROWTH"":1}",4,0
0000026a--171a0a1f5c--30:730|735,0000026a--171a0a1f5c--30,0000026a,30,730|735,730|735,2,1,0.400339231,0.400339231,0.100797567,2,2,"{""DISTANCE_GROWTH"":1,""LATERAL_GROWTH"":1}",2,0
0000026a--171a0a1f5c--32:521|526,0000026a--171a0a1f5c--32,0000026a,32,521|526,521|526,2,2,1.499894702,1.499894702,0.34988100499999997,2,2,"{""DISTANCE_DIAMETER"":1,""LATERAL_GROWTH"":1}",2,0
0000026a--171a0a1f5c--33:132|172,0000026a--171a0a1f5c--33,0000026a,33,132|172,132|172,2,1,1.299997129,1.299997129,0.60029886,2,2,"{""DISTANCE_DIAMETER"":1,""DISTANCE_GROWTH"":1}",2,0
0000026a--171a0a1f5c--33:281|282,0000026a--171a0a1f5c--33,0000026a,33,281|282,281|282,2,1,2.999897167,2.999897167,0.399793107,2,2,"{""DISTANCE_DIAMETER"":1,""LATERAL_DIAMETER"":1}",2,0
0000026a--171a0a1f5c--33:524|531,0000026a--171a0a1f5c--33,0000026a,33,524|531,524|531,2,2,1.011897156,1.011897156,0.8485313270000001,2,2,"{""DISTANCE_DIAMETER"":2}",2,0
0000026a--171a0a1f5c--33:596|610,0000026a--171a0a1f5c--33,0000026a,33,596|610,596|610,2,1,0.500958042,0.500958042,0.100620028,2,2,"{""LATERAL_DIAMETER"":1,""LATERAL_GROWTH"":1}",2,0
0000026a--171a0a1f5c--34:108|109,0000026a--171a0a1f5c--34,0000026a,34,108|109,108|109,2,2,0.199025048,0.199025048,0.2002392005,2,2,"{""LATERAL_GROWTH"":2}",2,0
0000026a--171a0a1f5c--34:226|237,0000026a--171a0a1f5c--34,0000026a,34,226|237,226|234|237;226|237,3,2,0.399873233,0.499456282,0.299995148,3,2,"{""DISTANCE_GROWTH"":1,""LATERAL_GROWTH"":1,""VELOCITY_DIAMETER"":1}",3,0
0000026a--171a0a1f5c--34:274|289,0000026a--171a0a1f5c--34,0000026a,34,274|289,274|289,2,2,0.700225277,0.700225277,0.4021625475,1,1,"{""DISTANCE_DIAMETER"":1,""LATERAL_GROWTH"":1}",2,0
0000026a--171a0a1f5c--34:392|434,0000026a--171a0a1f5c--34,0000026a,34,392|434,392|434,3,2,2.05039161,3.100729317,1.4999614645,3,3,"{""LATERAL_DIAMETER"":1,""LATERAL_GROWTH"":2}",3,0
0000026a--171a0a1f5c--34:40|46,0000026a--171a0a1f5c--34,0000026a,34,40|46,40|46,2,1,0.59798131,0.59798131,0.298586731,1,2,"{""DISTANCE_DIAMETER"":2}",2,0
0000026a--171a0a1f5c--4:223|239,0000026a--171a0a1f5c--4,0000026a,4,223|239,223|239,2,1,0.499526964,0.499526964,0.299589687,2,2,"{""LATERAL_DIAMETER"":1,""LATERAL_GROWTH"":1}",2,0
0000026a--171a0a1f5c--6:1|47,0000026a--171a0a1f5c--6,0000026a,6,1|47,1|47,2,1,0.598851331,0.598851331,0.299345193,2,2,"{""DISTANCE_DIAMETER"":1,""DISTANCE_GROWTH"":1}",2,0
0000026a--171a0a1f5c--7:114|122,0000026a--171a0a1f5c--7,0000026a,7,114|122,114|122,2,1,1.299848621,1.299848621,1.199414372,1,1,"{""DISTANCE_DIAMETER"":1,""DISTANCE_GROWTH"":1}",2,0
0000026a--171a0a1f5c--7:232|236,0000026a--171a0a1f5c--7,0000026a,7,232|236,232|236;232|236|237,2,1,1.799661414,1.799661414,1.099584564,2,2,"{""DISTANCE_DIAMETER"":2}",2,0
0000026b--4dfb361eee--0:226|231,0000026b--4dfb361eee--0,0000026b,0,226|231,226|231;226|231|232,3,2,0.9044936655,0.999996084,0.795469153,4,3,"{""LATERAL_DIAMETER"":2,""LATERAL_GROWTH"":1}",3,0
0000026b--4dfb361eee--0:234|251,0000026b--4dfb361eee--0,0000026b,0,234|251,234|251;234|251|252,2,1,0.599229747,0.599229747,0.510114827,1,0,"{""DISTANCE_DIAMETER"":1,""LATERAL_GROWTH"":1}",2,0
0000026b--4dfb361eee--0:270|271,0000026b--4dfb361eee--0,0000026b,0,270|271,270|271,2,1,0.999589373,0.999589373,0.400197851,1,1,"{""DISTANCE_GROWTH"":1,""LATERAL_DIAMETER"":1}",2,0
0000026b--4dfb361eee--0:350|363,0000026b--4dfb361eee--0,0000026b,0,350|363,350|363,2,1,0.70017054,0.70017054,0.500483609,2,2,"{""DISTANCE_DIAMETER"":2}",2,0
0000026b--4dfb361eee--0:390|455,0000026b--4dfb361eee--0,0000026b,0,390|455,390|455,2,2,0.299927392,0.299927392,1.000674259,2,2,"{""DISTANCE_DIAMETER"":1,""LATERAL_GROWTH"":1}",2,0
0000026b--4dfb361eee--0:515|542,0000026b--4dfb361eee--0,0000026b,0,515|542,515|542,4,4,0.900166488,1.600826196,0.5494878544999999,4,4,"{""DISTANCE_DIAMETER"":4}",4,0
0000026b--4dfb361eee--1:185|189,0000026b--4dfb361eee--1,0000026b,1,185|189,185|189,3,2,7.1991217455,13.599319132,0.799684055,3,3,"{""LATERAL_DIAMETER"":2,""LATERAL_GROWTH"":1}",3,0
