key,policy,pid,pattern,start_scan,end_scan,duration_s,stable_members
00000247--b657952782--20,P0,1000000,A_B_A,2,4,0.200112851,1
00000247--b657952782--20,P0,1000000,A_B_A,3,5,0.199189619,1
00000247--b657952782--20,P0,1000000,A_B_A,4,6,0.19950873400000002,1
00000247--b657952782--20,P0,1000006,A_B_A,2,4,0.200112851,1
00000247--b657952782--20,P0,1000079,A_B_A,86,88,0.199721173,1
00000247--b657952782--20,P0,1000079,A_B_A,87,89,0.19853690100000002,1
00000247--b657952782--20,P0,1000079,A_B_A,88,92,0.39887003400000004,1
00000247--b657952782--20,P0,1000088,A_B_A,85,87,0.201781072,1
00000247--b657952782--20,P0,1000088,A_B_A,86,88,0.199721173,1
00000247--b657952782--20,P0,1000088,A_B_A,87,89,0.19853690100000002,1
00000247--b657952782--20,P0,1000088,A_B_A,88,92,0.39887003400000004,1
00000247--b657952782--20,P0,1000088,A_B_A,91,102,1.101962515,1
00000247--b657952782--20,P0,1000088,A_B_A,101,104,0.30130837200000005,1
00000247--b657952782--20,P0,1000094,A_B_A,87,89,0.19853690100000002,1
00000247--b657952782--20,P0,1000373,A_B_A,351,356,0.500291515,1
00000247--b657952782--20,P0,1000421,A_B_A,403,408,0.501073962,1
00000247--b657952782--20,P0,1000421,A_B_A,407,409,0.19927338300000003,1
00000247--b657952782--20,P0,1000421,A_B_A,408,413,0.49879534300000006,1
00000247--b657952782--21,P0,1000149,A_B_A,110,122,1.208299663,1
00000247--b657952782--21,P0,1000329,A_B_A,346,351,0.49981693000000005,1
00000247--b657952782--21,P0,1000329,A_B_A,350,355,0.49985749,1
00000247--b657952782--21,P0,1000329,A_B_A,354,358,0.400521416,1
00000247--b657952782--21,P0,1000329,A_B_A,357,360,0.29992079600000005,1
00000247--b657952782--21,P0,1000329,A_B_A,359,361,0.19892351600000002,1
00000247--b657952782--21,P0,1000338,A_B_A,354,356,0.199780585,1
00000247--b657952782--21,P0,1000338,A_B_A,355,360,0.500135073,1
00000247--b657952782--21,P0,1000338,A_B_A,359,361,0.19892351600000002,1
00000247--b657952782--21,P0,1000338,A_B_A,360,365,0.500112456,1
00000247--b657952782--21,P0,1000338,A_B_A,364,366,0.1991815,1
00000247--b657952782--21,P0,1000344,A_B_A,373,375,0.200795087,1
00000247--b657952782--21,P0,1000344,A_B_A,374,379,0.501000468,1
00000247--b657952782--21,P0,1000397,A_B_A,479,481,0.19965801500000002,1
00000247--b657952782--21,P0,1000397,A_B_A,480,483,0.29977284800000004,1
00000247--b657952782--22,P0,1000001,A_B_A,17,21,0.399317678,1
00000247--b657952782--23,P0,1000173,A_B_A,303,310,0.699631325,1
00000247--b657952782--24,P0,1000040,A_B_A,33,35,0.19877719400000002,1
00000247--b657952782--24,P0,1000024,A_B_A,34,39,0.49944961800000004,1
