key,policy,scans,aLead_changed_scans,lead_aLead_changed
00000247--b657952782--22,E5,600,304,0
00000247--b657952782--23,E,600,49,0
00000247--b657952782--23,E1,600,24,0
00000247--b657952782--23,E2,600,37,0
00000247--b657952782--23,E3,600,37,0
00000247--b657952782--23,E4,600,1,0
00000247--b657952782--23,E5,600,103,0
00000247--b657952782--24,E,600,137,0
00000247--b657952782--24,E1,600,46,0
00000247--b657952782--24,E2,600,131,0
00000247--b657952782--24,E3,600,131,0
00000247--b657952782--24,E4,600,85,0
00000247--b657952782--24,E5,600,499,0
00000247--b657952782--25,E,600,81,0
00000247--b657952782--25,E1,600,50,0
00000247--b657952782--25,E2,600,80,0
00000247--b657952782--25,E3,600,80,0
00000247--b657952782--25,E4,600,0,0
00000247--b657952782--25,E5,600,521,0
00000247--b657952782--26,E,600,12,0
00000247--b657952782--26,E1,600,0,0
00000247--b657952782--26,E2,600,12,0
00000247--b657952782--26,E3,600,12,0
00000247--b657952782--26,E4,600,0,0
00000247--b657952782--26,E5,600,433,0
00000247--b657952782--27,E,600,84,0
00000247--b657952782--27,E1,600,38,0
00000247--b657952782--27,E2,600,84,0
00000247--b657952782--27,E3,600,84,0
00000247--b657952782--27,E4,600,0,0
00000247--b657952782--27,E5,600,406,0
00000247--b657952782--28,E,600,0,0
00000247--b657952782--28,E1,600,0,0
00000247--b657952782--28,E2,600,0,0
00000247--b657952782--28,E3,600,0,0
00000247--b657952782--28,E4,600,0,0
00000247--b657952782--28,E5,600,448,0
00000247--b657952782--29,E,600,47,0
00000247--b657952782--29,E1,600,0,0
00000247--b657952782--29,E2,600,20,0
00000247--b657952782--29,E3,600,20,0
00000247--b657952782--29,E4,600,0,0
00000247--b657952782--29,E5,600,182,0
00000247--b657952782--3,E,600,39,0
00000247--b657952782--3,E1,600,42,0
00000247--b657952782--3,E2,600,50,0
00000247--b657952782--3,E3,600,39,0
00000247--b657952782--3,E4,600,8,0
00000247--b657952782--3,E5,600,570,0
00000247--b657952782--30,E,599,1,0
00000247--b657952782--30,E1,599,0,0
00000247--b657952782--30,E2,599,0,0
00000247--b657952782--30,E3,599,0,0
00000247--b657952782--30,E4,599,0,0
00000247--b657952782--30,E5,599,128,0
00000247--b657952782--31,E,600,13,0
00000247--b657952782--31,E1,600,0,0
00000247--b657952782--31,E2,600,13,0
00000247--b657952782--31,E3,600,13,0
00000247--b657952782--31,E4,600,0,0
00000247--b657952782--31,E5,600,322,0
00000247--b657952782--32,E,599,59,0
00000247--b657952782--32,E1,599,0,0
00000247--b657952782--32,E2,599,26,0
00000247--b657952782--32,E3,599,26,0
00000247--b657952782--32,E4,599,0,0
00000247--b657952782--32,E5,599,389,0
00000247--b657952782--33,E,599,50,0
00000247--b657952782--33,E1,599,0,0
00000247--b657952782--33,E2,599,6,0
00000247--b657952782--33,E3,599,6,0
00000247--b657952782--33,E4,599,0,0
00000247--b657952782--33,E5,599,137,0
00000247--b657952782--34,E,599,0,0
00000247--b657952782--34,E1,599,0,0
00000247--b657952782--34,E2,599,0,0
00000247--b657952782--34,E3,599,0,0
00000247--b657952782--34,E4,599,0,0
00000247--b657952782--34,E5,599,554,0
00000247--b657952782--35,E,599,0,0
00000247--b657952782--35,E1,599,0,0
00000247--b657952782--35,E2,599,0,0
00000247--b657952782--35,E3,599,0,0
00000247--b657952782--35,E4,599,0,0
00000247--b657952782--35,E5,599,305,0
00000247--b657952782--36,E,599,280,0
00000247--b657952782--36,E1,599,0,0
00000247--b657952782--36,E2,599,280,0
00000247--b657952782--36,E3,599,280,0
00000247--b657952782--36,E4,599,18,0
00000247--b657952782--36,E5,599,227,0
00000247--b657952782--37,E,599,14,0
00000247--b657952782--37,E1,599,0,0
00000247--b657952782--37,E2,599,0,0
00000247--b657952782--37,E3,599,0,0
00000247--b657952782--37,E4,599,0,0
00000247--b657952782--37,E5,599,14,0
00000247--b657952782--38,E,599,97,0
00000247--b657952782--38,E1,599,5,0
00000247--b657952782--38,E2,599,58,0
00000247--b657952782--38,E3,599,58,0
00000247--b657952782--38,E4,599,5,0
00000247--b657952782--38,E5,599,321,0
00000247--b657952782--39,E,585,20,0
00000247--b657952782--39,E1,585,0,0
00000247--b657952782--39,E2,585,20,0
00000247--b657952782--39,E3,585,20,0
00000247--b657952782--39,E4,585,0,0
00000247--b657952782--39,E5,585,504,0
00000247--b657952782--4,E,599,18,0
00000247--b657952782--4,E1,599,0,0
00000247--b657952782--4,E2,599,18,0
00000247--b657952782--4,E3,599,18,0
00000247--b657952782--4,E4,599,18,0
00000247--b657952782--4,E5,599,139,0
00000247--b657952782--5,E,599,46,0
00000247--b657952782--5,E1,599,0,0
00000247--b657952782--5,E2,599,46,0
00000247--b657952782--5,E3,599,46,0
00000247--b657952782--5,E4,599,0,0
00000247--b657952782--5,E5,599,345,0
00000247--b657952782--6,E,600,126,0
00000247--b657952782--6,E1,600,0,0
00000247--b657952782--6,E2,600,126,0
00000247--b657952782--6,E3,600,126,0
00000247--b657952782--6,E4,600,15,0
00000247--b657952782--6,E5,600,411,219
00000247--b657952782--7,E,600,40,0
00000247--b657952782--7,E1,600,33,0
00000247--b657952782--7,E2,600,40,0
00000247--b657952782--7,E3,600,40,0
00000247--b657952782--7,E4,600,77,0
00000247--b657952782--7,E5,600,408,0
00000247--b657952782--8,E,599,155,0
00000247--b657952782--8,E1,599,109,0
00000247--b657952782--8,E2,599,109,0
00000247--b657952782--8,E3,599,109,0
00000247--b657952782--8,E4,599,0,0
00000247--b657952782--8,E5,599,337,0
00000247--b657952782--9,E,600,0,0
00000247--b657952782--9,E1,600,0,0
00000247--b657952782--9,E2,600,0,0
00000247--b657952782--9,E3,600,0,0
00000247--b657952782--9,E4,600,0,0
00000247--b657952782--9,E5,600,471,0
00000250--8354d55131--0,E,621,0,0
00000250--8354d55131--0,E1,621,0,0
00000250--8354d55131--0,E2,621,0,0
00000250--8354d55131--0,E3,621,0,0
00000250--8354d55131--0,E4,621,0,0
00000250--8354d55131--0,E5,621,386,133
00000250--8354d55131--1,E,599,53,0
00000250--8354d55131--1,E1,599,0,0
00000250--8354d55131--1,E2,599,49,0
00000250--8354d55131--1,E3,599,49,0
00000250--8354d55131--1,E4,599,49,0
00000250--8354d55131--1,E5,599,398,0
00000250--8354d55131--2,E,377,0,0
00000250--8354d55131--2,E1,377,0,0
00000250--8354d55131--2,E2,377,0,0
00000250--8354d55131--2,E3,377,0,0
00000250--8354d55131--2,E4,377,0,0
00000250--8354d55131--2,E5,377,159,127
00000252--d191bee66c--0,E,617,60,3
00000252--d191bee66c--0,E1,617,0,0
00000252--d191bee66c--0,E2,617,49,3
00000252--d191bee66c--0,E3,617,49,3
00000252--d191bee66c--0,E4,617,3,0
00000252--d191bee66c--0,E5,617,387,182
00000252--d191bee66c--1,E,600,85,0
00000252--d191bee66c--1,E1,600,0,0
00000252--d191bee66c--1,E2,600,85,0
00000252--d191bee66c--1,E3,600,85,0
00000252--d191bee66c--1,E4,600,0,0
00000252--d191bee66c--1,E5,600,325,35
00000252--d191bee66c--2,E,333,0,0
00000252--d191bee66c--2,E1,333,0,0
00000252--d191bee66c--2,E2,333,0,0
00000252--d191bee66c--2,E3,333,0,0
00000252--d191bee66c--2,E4,333,0,0
00000252--d191bee66c--2,E5,333,0,0
00000254--0ac259250e--0,E,620,29,0
00000254--0ac259250e--0,E1,620,0,0
00000254--0ac259250e--0,E2,620,0,0
00000254--0ac259250e--0,E3,620,0,0
00000254--0ac259250e--0,E4,620,0,0
00000254--0ac259250e--0,E5,620,425,168
00000254--0ac259250e--1,E,600,79,0
00000254--0ac259250e--1,E1,600,0,0
00000254--0ac259250e--1,E2,600,79,0
00000254--0ac259250e--1,E3,600,79,0
00000254--0ac259250e--1,E4,600,3,0
00000254--0ac259250e--1,E5,600,496,85
00000254--0ac259250e--10,E,599,72,0
00000254--0ac259250e--10,E1,599,0,0
00000254--0ac259250e--10,E2,599,72,0
00000254--0ac259250e--10,E3,599,72,0
00000254--0ac259250e--10,E4,599,33,0
00000254--0ac259250e--10,E5,599,209,0
00000254--0ac259250e--11,E,599,116,0
00000254--0ac259250e--11,E1,599,23,0
00000254--0ac259250e--11,E2,599,119,0
00000254--0ac259250e--11,E3,599,119,0
00000254--0ac259250e--11,E4,599,73,0
00000254--0ac259250e--11,E5,599,457,4
00000254--0ac259250e--12,E,600,63,0
00000254--0ac259250e--12,E1,600,7,0
00000254--0ac259250e--12,E2,600,63,0
00000254--0ac259250e--12,E3,600,63,0
00000254--0ac259250e--12,E4,600,4,0
00000254--0ac259250e--12,E5,600,561,0
00000254--0ac259250e--13,E,600,0,0
00000254--0ac259250e--13,E1,600,0,0
00000254--0ac259250e--13,E2,600,0,0
00000254--0ac259250e--13,E3,600,0,0
00000254--0ac259250e--13,E4,600,0,0
00000254--0ac259250e--13,E5,600,575,575
00000254--0ac259250e--14,E,600,63,0
00000254--0ac259250e--14,E1,600,16,0
00000254--0ac259250e--14,E2,600,63,0
00000254--0ac259250e--14,E3,600,63,0
00000254--0ac259250e--14,E4,600,10,0
00000254--0ac259250e--14,E5,600,466,453
00000254--0ac259250e--15,E,600,83,0
00000254--0ac259250e--15,E1,600,26,0
00000254--0ac259250e--15,E2,600,83,0
00000254--0ac259250e--15,E3,600,83,0
00000254--0ac259250e--15,E4,600,0,0
00000254--0ac259250e--15,E5,600,159,41
00000254--0ac259250e--16,E,600,0,0
00000254--0ac259250e--16,E1,600,0,0
00000254--0ac259250e--16,E2,600,0,0
00000254--0ac259250e--16,E3,600,0,0
00000254--0ac259250e--16,E4,600,0,0
00000254--0ac259250e--16,E5,600,436,285
00000254--0ac259250e--17,E,600,103,0
00000254--0ac259250e--17,E1,600,20,0
00000254--0ac259250e--17,E2,600,78,0
00000254--0ac259250e--17,E3,600,78,0
00000254--0ac259250e--17,E4,600,29,0
00000254--0ac259250e--17,E5,600,204,0
00000254--0ac259250e--18,E,600,68,0
00000254--0ac259250e--18,E1,600,0,0
00000254--0ac259250e--18,E2,600,5,0
00000254--0ac259250e--18,E3,600,5,0
00000254--0ac259250e--18,E4,600,0,0
00000254--0ac259250e--18,E5,600,88,0
00000254--0ac259250e--19,E,600,80,0
00000254--0ac259250e--19,E1,600,52,0
00000254--0ac259250e--19,E2,600,80,0
00000254--0ac259250e--19,E3,600,80,0
00000254--0ac259250e--19,E4,600,0,0
00000254--0ac259250e--19,E5,600,247,0
00000254--0ac259250e--2,E,599,137,4
00000254--0ac259250e--2,E1,599,24,0
00000254--0ac259250e--2,E2,599,137,4
00000254--0ac259250e--2,E3,599,137,4
00000254--0ac259250e--2,E4,599,17,0
00000254--0ac259250e--2,E5,599,477,30
00000254--0ac259250e--20,E,600,109,0
00000254--0ac259250e--20,E1,600,69,0
00000254--0ac259250e--20,E2,600,95,0
00000254--0ac259250e--20,E3,600,95,0
00000254--0ac259250e--20,E4,600,68,0
00000254--0ac259250e--20,E5,600,277,0
00000254--0ac259250e--21,E,599,21,0
00000254--0ac259250e--21,E1,599,0,0
00000254--0ac259250e--21,E2,599,21,0
00000254--0ac259250e--21,E3,599,21,0
00000254--0ac259250e--21,E4,599,0,0
00000254--0ac259250e--21,E5,599,367,0
00000254--0ac259250e--22,E,600,206,0
00000254--0ac259250e--22,E1,600,36,0
00000254--0ac259250e--22,E2,600,170,0
00000254--0ac259250e--22,E3,600,206,0
00000254--0ac259250e--22,E4,600,8,0
00000254--0ac259250e--22,E5,600,357,0
00000254--0ac259250e--23,E,600,126,0
00000254--0ac259250e--23,E1,600,69,0
