key,policy,scans,radarstate_changed_scans,planner_input_changed_scans,lead_coordinate_only,lead_id_changed,lead_gain,lead_loss,lead1_lead2_change,lead_aLead_changed
00000247--b657952782--15,E2,600,0,0,0,0,0,0,0,0
00000247--b657952782--15,E3,600,0,0,0,0,0,0,0,0
00000247--b657952782--15,E4,600,0,0,0,0,0,0,0,0
00000247--b657952782--15,E5,600,245,245,0,25,0,0,0,220
00000247--b657952782--16,E,600,0,0,0,0,0,0,0,0
00000247--b657952782--16,E1,600,0,0,0,0,0,0,0,0
00000247--b657952782--16,E2,600,0,0,0,0,0,0,0,0
00000247--b657952782--16,E3,600,0,0,0,0,0,0,0,0
00000247--b657952782--16,E4,600,0,0,0,0,0,0,0,0
00000247--b657952782--16,E5,600,0,0,0,0,0,0,0,0
00000247--b657952782--17,E,600,0,0,0,0,0,0,0,0
00000247--b657952782--17,E1,600,0,0,0,0,0,0,0,0
00000247--b657952782--17,E2,600,0,0,0,0,0,0,0,0
00000247--b657952782--17,E3,600,0,0,0,0,0,0,0,0
00000247--b657952782--17,E4,600,0,0,0,0,0,0,0,0
00000247--b657952782--17,E5,600,213,213,0,213,0,0,0,0
00000247--b657952782--18,E,600,0,0,0,0,0,0,0,0
00000247--b657952782--18,E1,600,0,0,0,0,0,0,0,0
00000247--b657952782--18,E2,600,0,0,0,0,0,0,0,0
00000247--b657952782--18,E3,600,0,0,0,0,0,0,0,0
00000247--b657952782--18,E4,600,0,0,0,0,0,0,0,0
00000247--b657952782--18,E5,600,0,0,0,0,0,0,0,0
00000247--b657952782--19,E,600,0,0,0,0,0,0,0,0
00000247--b657952782--19,E1,600,0,0,0,0,0,0,0,0
00000247--b657952782--19,E2,600,0,0,0,0,0,0,0,0
00000247--b657952782--19,E3,600,0,0,0,0,0,0,0,0
00000247--b657952782--19,E4,600,0,0,0,0,0,0,0,0
00000247--b657952782--19,E5,600,0,0,0,0,0,0,0,0
00000247--b657952782--2,E,599,59,59,0,59,0,0,0,0
00000247--b657952782--2,E1,599,0,0,0,0,0,0,0,0
00000247--b657952782--2,E2,599,0,0,0,0,0,0,0,0
00000247--b657952782--2,E3,599,0,0,0,0,0,0,0,0
00000247--b657952782--2,E4,599,0,0,0,0,0,0,0,0
00000247--b657952782--2,E5,599,89,89,0,86,0,0,0,3
00000247--b657952782--20,E,600,0,0,0,0,0,0,0,0
00000247--b657952782--20,E1,600,0,0,0,0,0,0,0,0
00000247--b657952782--20,E2,600,0,0,0,0,0,0,0,0
00000247--b657952782--20,E3,600,0,0,0,0,0,0,0,0
00000247--b657952782--20,E4,600,0,0,0,0,0,0,0,0
00000247--b657952782--20,E5,600,0,0,0,0,0,0,0,0
00000247--b657952782--21,E,600,0,0,0,0,0,0,0,0
00000247--b657952782--21,E1,600,0,0,0,0,0,0,0,0
00000247--b657952782--21,E2,600,0,0,0,0,0,0,0,0
00000247--b657952782--21,E3,600,0,0,0,0,0,0,0,0
00000247--b657952782--21,E4,600,0,0,0,0,0,0,0,0
00000247--b657952782--21,E5,600,0,0,0,0,0,0,0,0
00000247--b657952782--22,E,600,0,0,0,0,0,0,0,0
00000247--b657952782--22,E1,600,0,0,0,0,0,0,0,0
00000247--b657952782--22,E2,600,0,0,0,0,0,0,0,0
00000247--b657952782--22,E3,600,0,0,0,0,0,0,0,0
00000247--b657952782--22,E4,600,0,0,0,0,0,0,0,0
00000247--b657952782--22,E5,600,0,0,0,0,0,0,0,0
00000247--b657952782--23,E,600,0,0,0,0,0,0,0,0
00000247--b657952782--23,E1,600,0,0,0,0,0,0,0,0
00000247--b657952782--23,E2,600,0,0,0,0,0,0,0,0
00000247--b657952782--23,E3,600,0,0,0,0,0,0,0,0
00000247--b657952782--23,E4,600,0,0,0,0,0,0,0,0
00000247--b657952782--23,E5,600,0,0,0,0,0,0,0,0
00000247--b657952782--24,E,600,0,0,0,0,0,0,0,0
00000247--b657952782--24,E1,600,0,0,0,0,0,0,0,0
00000247--b657952782--24,E2,600,0,0,0,0,0,0,0,0
00000247--b657952782--24,E3,600,0,0,0,0,0,0,0,0
00000247--b657952782--24,E4,600,0,0,0,0,0,0,0,0
00000247--b657952782--24,E5,600,0,0,0,0,0,0,0,0
00000247--b657952782--25,E,600,0,0,0,0,0,0,0,0
00000247--b657952782--25,E1,600,0,0,0,0,0,0,0,0
00000247--b657952782--25,E2,600,0,0,0,0,0,0,0,0
00000247--b657952782--25,E3,600,0,0,0,0,0,0,0,0
00000247--b657952782--25,E4,600,0,0,0,0,0,0,0,0
00000247--b657952782--25,E5,600,0,0,0,0,0,0,0,0
00000247--b657952782--26,E,600,0,0,0,0,0,0,0,0
00000247--b657952782--26,E1,600,0,0,0,0,0,0,0,0
00000247--b657952782--26,E2,600,0,0,0,0,0,0,0,0
00000247--b657952782--26,E3,600,0,0,0,0,0,0,0,0
00000247--b657952782--26,E4,600,0,0,0,0,0,0,0,0
00000247--b657952782--26,E5,600,0,0,0,0,0,0,0,0
00000247--b657952782--27,E,600,0,0,0,0,0,0,0,0
00000247--b657952782--27,E1,600,0,0,0,0,0,0,0,0
00000247--b657952782--27,E2,600,0,0,0,0,0,0,0,0
00000247--b657952782--27,E3,600,0,0,0,0,0,0,0,0
00000247--b657952782--27,E4,600,0,0,0,0,0,0,0,0
00000247--b657952782--27,E5,600,75,75,0,75,0,0,0,0
00000247--b657952782--28,E,600,0,0,0,0,0,0,0,0
00000247--b657952782--28,E1,600,0,0,0,0,0,0,0,0
00000247--b657952782--28,E2,600,0,0,0,0,0,0,0,0
00000247--b657952782--28,E3,600,0,0,0,0,0,0,0,0
00000247--b657952782--28,E4,600,0,0,0,0,0,0,0,0
00000247--b657952782--28,E5,600,0,0,0,0,0,0,0,0
00000247--b657952782--29,E,600,0,0,0,0,0,0,0,0
00000247--b657952782--29,E1,600,0,0,0,0,0,0,0,0
00000247--b657952782--29,E2,600,0,0,0,0,0,0,0,0
00000247--b657952782--29,E3,600,0,0,0,0,0,0,0,0
00000247--b657952782--29,E4,600,0,0,0,0,0,0,0,0
00000247--b657952782--29,E5,600,0,0,0,0,0,0,0,0
00000247--b657952782--3,E,600,0,0,0,0,0,0,0,0
00000247--b657952782--3,E1,600,0,0,0,0,0,0,0,0
00000247--b657952782--3,E2,600,0,0,0,0,0,0,0,0
00000247--b657952782--3,E3,600,0,0,0,0,0,0,0,0
00000247--b657952782--3,E4,600,0,0,0,0,0,0,0,0
00000247--b657952782--3,E5,600,0,0,0,0,0,0,0,0
00000247--b657952782--30,E,599,0,0,0,0,0,0,0,0
00000247--b657952782--30,E1,599,0,0,0,0,0,0,0,0
00000247--b657952782--30,E2,599,0,0,0,0,0,0,0,0
00000247--b657952782--30,E3,599,0,0,0,0,0,0,0,0
00000247--b657952782--30,E4,599,0,0,0,0,0,0,0,0
00000247--b657952782--30,E5,599,0,0,0,0,0,0,0,0
00000247--b657952782--31,E,600,0,0,0,0,0,0,0,0
00000247--b657952782--31,E1,600,0,0,0,0,0,0,0,0
00000247--b657952782--31,E2,600,0,0,0,0,0,0,0,0
00000247--b657952782--31,E3,600,0,0,0,0,0,0,0,0
00000247--b657952782--31,E4,600,0,0,0,0,0,0,0,0
00000247--b657952782--31,E5,600,0,0,0,0,0,0,0,0
00000247--b657952782--32,E,599,0,0,0,0,0,0,0,0
00000247--b657952782--32,E1,599,0,0,0,0,0,0,0,0
00000247--b657952782--32,E2,599,0,0,0,0,0,0,0,0
00000247--b657952782--32,E3,599,0,0,0,0,0,0,0,0
00000247--b657952782--32,E4,599,0,0,0,0,0,0,0,0
00000247--b657952782--32,E5,599,0,0,0,0,0,0,0,0
00000247--b657952782--33,E,599,0,0,0,0,0,0,0,0
00000247--b657952782--33,E1,599,0,0,0,0,0,0,0,0
00000247--b657952782--33,E2,599,0,0,0,0,0,0,0,0
00000247--b657952782--33,E3,599,0,0,0,0,0,0,0,0
00000247--b657952782--33,E4,599,0,0,0,0,0,0,0,0
00000247--b657952782--33,E5,599,0,0,0,0,0,0,0,0
00000247--b657952782--34,E,599,0,0,0,0,0,0,0,0
00000247--b657952782--34,E1,599,0,0,0,0,0,0,0,0
00000247--b657952782--34,E2,599,0,0,0,0,0,0,0,0
00000247--b657952782--34,E3,599,0,0,0,0,0,0,0,0
00000247--b657952782--34,E4,599,0,0,0,0,0,0,0,0
00000247--b657952782--34,E5,599,0,0,0,0,0,0,0,0
00000247--b657952782--35,E,599,0,0,0,0,0,0,0,0
00000247--b657952782--35,E1,599,0,0,0,0,0,0,0,0
00000247--b657952782--35,E2,599,0,0,0,0,0,0,0,0
00000247--b657952782--35,E3,599,0,0,0,0,0,0,0,0
00000247--b657952782--35,E4,599,0,0,0,0,0,0,0,0
00000247--b657952782--35,E5,599,0,0,0,0,0,0,0,0
00000247--b657952782--36,E,599,0,0,0,0,0,0,0,0
00000247--b657952782--36,E1,599,0,0,0,0,0,0,0,0
00000247--b657952782--36,E2,599,0,0,0,0,0,0,0,0
00000247--b657952782--36,E3,599,0,0,0,0,0,0,0,0
00000247--b657952782--36,E4,599,0,0,0,0,0,0,0,0
00000247--b657952782--36,E5,599,0,0,0,0,0,0,0,0
00000247--b657952782--37,E,599,0,0,0,0,0,0,0,0
00000247--b657952782--37,E1,599,0,0,0,0,0,0,0,0
00000247--b657952782--37,E2,599,0,0,0,0,0,0,0,0
00000247--b657952782--37,E3,599,0,0,0,0,0,0,0,0
00000247--b657952782--37,E4,599,0,0,0,0,0,0,0,0
00000247--b657952782--37,E5,599,0,0,0,0,0,0,0,0
00000247--b657952782--38,E,599,0,0,0,0,0,0,0,0
00000247--b657952782--38,E1,599,0,0,0,0,0,0,0,0
00000247--b657952782--38,E2,599,0,0,0,0,0,0,0,0
00000247--b657952782--38,E3,599,0,0,0,0,0,0,0,0
00000247--b657952782--38,E4,599,0,0,0,0,0,0,0,0
00000247--b657952782--38,E5,599,2,2,0,2,0,0,0,0
00000247--b657952782--39,E,585,0,0,0,0,0,0,0,0
00000247--b657952782--39,E1,585,0,0,0,0,0,0,0,0
00000247--b657952782--39,E2,585,0,0,0,0,0,0,0,0
00000247--b657952782--39,E3,585,0,0,0,0,0,0,0,0
00000247--b657952782--39,E4,585,0,0,0,0,0,0,0,0
00000247--b657952782--39,E5,585,409,409,0,409,0,0,0,0
00000247--b657952782--4,E,599,0,0,0,0,0,0,0,0
00000247--b657952782--4,E1,599,0,0,0,0,0,0,0,0
00000247--b657952782--4,E2,599,0,0,0,0,0,0,0,0
00000247--b657952782--4,E3,599,0,0,0,0,0,0,0,0
00000247--b657952782--4,E4,599,0,0,0,0,0,0,0,0
00000247--b657952782--4,E5,599,0,0,0,0,0,0,0,0
00000247--b657952782--5,E,599,0,0,0,0,0,0,0,0
00000247--b657952782--5,E1,599,0,0,0,0,0,0,0,0
00000247--b657952782--5,E2,599,0,0,0,0,0,0,0,0
00000247--b657952782--5,E3,599,0,0,0,0,0,0,0,0
00000247--b657952782--5,E4,599,0,0,0,0,0,0,0,0
00000247--b657952782--5,E5,599,0,0,0,0,0,0,0,0
00000247--b657952782--6,E,600,0,0,0,0,0,0,0,0
00000247--b657952782--6,E1,600,0,0,0,0,0,0,0,0
00000247--b657952782--6,E2,600,0,0,0,0,0,0,0,0
00000247--b657952782--6,E3,600,0,0,0,0,0,0,0,0
00000247--b657952782--6,E4,600,0,0,0,0,0,0,0,0
00000247--b657952782--6,E5,600,225,225,6,0,0,0,0,219
00000247--b657952782--7,E,600,0,0,0,0,0,0,0,0
00000247--b657952782--7,E1,600,0,0,0,0,0,0,0,0
00000247--b657952782--7,E2,600,0,0,0,0,0,0,0,0
00000247--b657952782--7,E3,600,0,0,0,0,0,0,0,0
