event_id,scan,pid,category,abs_delta_d,abs_delta_y,abs_delta_v,publication_divergence_scans,publication_divergence_duration_s,key,policy
00000245--2c15eb5d45--19:572:1000735,572,1000735,R1_STABLE_GROUP_REP_CHANGE,2.75,0.34375,0.0,14,1.299470952,00000245--2c15eb5d45--19,E
00000245--2c15eb5d45--19:582:1000784,582,1000784,R1_STABLE_GROUP_REP_CHANGE,1.5,0.1875,0.75,14,1.299470952,00000245--2c15eb5d45--19,E
00000245--2c15eb5d45--19:584:1000809,584,1000809,R1_STABLE_GROUP_REP_CHANGE,1.75,0.25,0.0,2,0.099860846,00000245--2c15eb5d45--19,E
00000245--2c15eb5d45--19:586:1000809,586,1000809,R1_STABLE_GROUP_REP_CHANGE,0.0,1.21875,0.25,0,0.0,00000245--2c15eb5d45--19,E
00000245--2c15eb5d45--19:588:1000809,588,1000809,R1_STABLE_GROUP_REP_CHANGE,2.0,0.125,0.25,2,0.100053867,00000245--2c15eb5d45--19,E
00000245--2c15eb5d45--19:593:1000852,593,1000852,R1_STABLE_GROUP_REP_CHANGE,0.75,0.59375,0.25,1,0.0,00000245--2c15eb5d45--19,E
00000245--2c15eb5d45--19:594:1000852,594,1000852,R2_MEMBER_DISAPPEAR_REP_CHANGE,2.0,1.03125,0.25,0,0.0,00000245--2c15eb5d45--19,E
00000245--2c15eb5d45--21:57:1000034,57,1000034,R1_STABLE_GROUP_REP_CHANGE,1.0,0.1875,0.0,1,0.0,00000245--2c15eb5d45--21,E
00000245--2c15eb5d45--21:58:1000034,58,1000034,R1_STABLE_GROUP_REP_CHANGE,2.75,0.125,0.25,0,0.0,00000245--2c15eb5d45--21,E
00000245--2c15eb5d45--21:111:1000155,111,1000155,R1_STABLE_GROUP_REP_CHANGE,1.75,0.0625,0.25,3,0.19919491900000003,00000245--2c15eb5d45--21,E
00000245--2c15eb5d45--21:404:1000476,404,1000476,R5_GROUP_MERGE_REP_CHANGE,0.25,0.15625,0.0,2,0.099836564,00000245--2c15eb5d45--21,E
00000245--2c15eb5d45--21:406:1000476,406,1000476,R2_MEMBER_DISAPPEAR_REP_CHANGE,0.5,0.875,0.0,0,0.0,00000245--2c15eb5d45--21,E
00000245--2c15eb5d45--21:457:1000541,457,1000541,R5_GROUP_MERGE_REP_CHANGE,2.75,0.40625,0.0,1,0.0,00000245--2c15eb5d45--21,E
00000245--2c15eb5d45--21:458:1000541,458,1000541,R2_MEMBER_DISAPPEAR_REP_CHANGE,0.25,0.34375,0.0,0,0.0,00000245--2c15eb5d45--21,E
00000245--2c15eb5d45--32:281:1000168,281,1000168,R1_STABLE_GROUP_REP_CHANGE,0.0,0.625,0.25,2,0.100332133,00000245--2c15eb5d45--32,E
00000245--2c15eb5d45--32:507:1000293,507,1000293,R5_GROUP_MERGE_REP_CHANGE,1.5,0.625,0.0,3,0.19952285800000003,00000245--2c15eb5d45--32,E
00000245--2c15eb5d45--7:10:1000022,10,1000022,R1_STABLE_GROUP_REP_CHANGE,1.5,0.03125,0.25,1,0.0,00000245--2c15eb5d45--7,E
00000245--2c15eb5d45--7:10:1000037,10,1000037,R5_GROUP_MERGE_REP_CHANGE,1.5,0.03125,0.0,1,0.0,00000245--2c15eb5d45--7,E
00000245--2c15eb5d45--7:11:1000022,11,1000022,R1_STABLE_GROUP_REP_CHANGE,2.0,0.09375,0.0,0,0.0,00000245--2c15eb5d45--7,E
00000245--2c15eb5d45--7:11:1000037,11,1000037,R1_STABLE_GROUP_REP_CHANGE,2.0,0.03125,0.0,0,0.0,00000245--2c15eb5d45--7,E
00000245--2c15eb5d45--7:24:1000014,24,1000014,R1_STABLE_GROUP_REP_CHANGE,1.5,0.09375,0.0,3,0.20037099,00000245--2c15eb5d45--7,E
00000245--2c15eb5d45--7:24:1000043,24,1000043,R5_GROUP_MERGE_REP_CHANGE,1.75,0.46875,0.0,3,0.20037099,00000245--2c15eb5d45--7,E
00000245--2c15eb5d45--7:27:1000043,27,1000043,R1_STABLE_GROUP_REP_CHANGE,2.25,0.5625,0.0,0,0.0,00000245--2c15eb5d45--7,E
00000245--2c15eb5d45--7:41:1000079,41,1000079,R1_STABLE_GROUP_REP_CHANGE,1.75,0.125,0.25,1,0.0,00000245--2c15eb5d45--7,E
00000245--2c15eb5d45--7:41:1000089,41,1000089,R1_STABLE_GROUP_REP_CHANGE,1.75,0.03125,0.0,1,0.0,00000245--2c15eb5d45--7,E
00000245--2c15eb5d45--7:42:1000079,42,1000079,R1_STABLE_GROUP_REP_CHANGE,1.75,0.15625,0.0,0,0.0,00000245--2c15eb5d45--7,E
00000245--2c15eb5d45--7:42:1000089,42,1000089,R1_STABLE_GROUP_REP_CHANGE,1.75,0.125,0.0,0,0.0,00000245--2c15eb5d45--7,E
00000245--2c15eb5d45--7:50:1000079,50,1000079,R1_STABLE_GROUP_REP_CHANGE,2.0,0.25,0.25,1,0.0,00000245--2c15eb5d45--7,E
00000245--2c15eb5d45--7:55:1000099,55,1000099,R1_STABLE_GROUP_REP_CHANGE,3.0,0.03125,0.0,5,0.39947048,00000245--2c15eb5d45--7,E
00000245--2c15eb5d45--7:73:1000154,73,1000154,R1_STABLE_GROUP_REP_CHANGE,2.25,0.125,0.0,5,0.40035614,00000245--2c15eb5d45--7,E
00000245--2c15eb5d45--7:78:1000154,78,1000154,R1_STABLE_GROUP_REP_CHANGE,1.5,0.03125,0.25,0,0.0,00000245--2c15eb5d45--7,E
00000245--2c15eb5d45--7:90:1000174,90,1000174,R1_STABLE_GROUP_REP_CHANGE,1.75,0.09375,0.25,16,1.500002942,00000245--2c15eb5d45--7,E
00000245--2c15eb5d45--7:121:1000221,121,1000221,R1_STABLE_GROUP_REP_CHANGE,3.5,0.03125,0.25,2,0.10046492100000001,00000245--2c15eb5d45--7,E
00000245--2c15eb5d45--7:123:1000221,123,1000221,R2_MEMBER_DISAPPEAR_REP_CHANGE,0.5,0.125,0.25,0,0.0,00000245--2c15eb5d45--7,E
00000245--2c15eb5d45--7:178:1000257,178,1000257,R1_STABLE_GROUP_REP_CHANGE,2.75,0.0625,0.0,3,0.198658611,00000245--2c15eb5d45--7,E
