population,tenure_scans,count,duration_p50_s,duration_p90_s,duration_p95_s,duration_p99_s,duration_max_s
ALL_REPRESENTATIVE_TENURE,1,163757,0.0,0.0,0.0,0.0,0.0
ALL_REPRESENTATIVE_TENURE,2,129498,0.10000336500000001,0.1008393433,0.101426019,0.109890491,0.500494858
ALL_REPRESENTATIVE_TENURE,3,41466,0.199991822,0.201050636,0.20194502450000001,0.21003904475000001,0.59968036
ALL_REPRESENTATIVE_TENURE,4,28793,0.29999047300000004,0.3012028642,0.3020493074,0.30996358264,0.400374969
ALL_REPRESENTATIVE_TENURE,5,22803,0.39999852500000005,0.4012198168,0.4020818886,0.40983197412000005,0.800291415
ALL_REPRESENTATIVE_TENURE,6,17713,0.49999629,0.5012383624000001,0.502219304,0.50990600168,0.900066919
ALL_REPRESENTATIVE_TENURE,7,14770,0.5999974105000001,0.6012742719,0.6021606869,0.6099692972,0.6208707840000001
ALL_REPRESENTATIVE_TENURE,8,12588,0.699987127,0.7012853713,0.7022690741000001,0.71000915802,0.8011086620000001
ALL_REPRESENTATIVE_TENURE,9,11196,0.7999881640000001,0.8012563445,0.8021723165000001,0.8099766758000001,0.830456237
ALL_REPRESENTATIVE_TENURE,10,9760,0.9000048995000001,0.9012592971000001,0.90217226755,0.91004222509,1.2998871410000001
ALL_REPRESENTATIVE_TENURE,11,8816,0.9999741320000001,1.0011992405,1.0020847837500002,1.00997107,1.1002675480000002
ALL_REPRESENTATIVE_TENURE,12,7851,1.0999697800000001,1.1012652310000002,1.1023462415,1.1102395125000002,1.1407239420000002
ALL_REPRESENTATIVE_TENURE,13,7187,1.19999685,1.2013128794,1.2022487902,1.21013353042,1.230081975
ALL_REPRESENTATIVE_TENURE,14,6546,1.2999921015,1.301320874,1.3024651025,1.310142229,1.3396470070000002
ALL_REPRESENTATIVE_TENURE,15,6321,1.4000009480000002,1.401109949,1.4022522860000002,1.4102800908000002,1.80034295
ALL_REPRESENTATIVE_TENURE,16,5824,1.5000014360000002,1.5009757462000002,1.5019343814000004,1.5103830174600001,1.79941769
ALL_REPRESENTATIVE_TENURE,17,5383,1.599980659,1.6007886706,1.6014098266,1.61025566052,1.6403275880000001
ALL_REPRESENTATIVE_TENURE,18,5175,1.699995284,1.700974795,1.702008369,1.7104168596,1.7593176540000002
ALL_REPRESENTATIVE_TENURE,19,4867,1.7999769360000002,1.8011680752,1.8027748421000003,1.8106670337800002,2.199991289
ALL_REPRESENTATIVE_TENURE,20,4460,1.8999497895,1.9013359194000001,1.9028471493000003,1.91045750434,2.00046401
ALL_REPRESENTATIVE_TENURE,21,4303,1.999992693,2.0014610624,2.0027352887000003,2.01050683012,2.0995923530000002
ALL_REPRESENTATIVE_TENURE,22,4000,2.1000079825,2.1016511123000003,2.1082880119500005,2.1106670570799997,2.200353901
ALL_REPRESENTATIVE_TENURE,23,3867,2.199994252,2.2014390738,2.2032205635,2.2104952758,2.3002232300000003
ALL_REPRESENTATIVE_TENURE,24,3504,2.2999891055,2.3014096687000003,2.3029250214,2.31043795641,2.360145508
ALL_REPRESENTATIVE_TENURE,25,3376,2.4000015345000003,2.401408372,2.402805368,2.4105333235,2.449961139
ALL_REPRESENTATIVE_TENURE,26,3158,2.4999735815,2.5014537764,2.5079146545000004,2.5111450302800002,2.599872534
ALL_REPRESENTATIVE_TENURE,27,2928,2.5999621615,2.6013764146000002,2.60753611845,2.61067072169,2.6802995970000003
ALL_REPRESENTATIVE_TENURE,28,2861,2.6999718290000003,2.7015489350000004,2.708552504,2.7115521812,2.989091455
ALL_REPRESENTATIVE_TENURE,29,2825,2.7999963840000004,2.8014330596,2.8071038862,2.81129560872,2.899859551
ALL_REPRESENTATIVE_TENURE,30,2558,2.9000025430000003,2.9013742726,2.90757038915,2.9124376951600004,3.000588387
ALL_REPRESENTATIVE_TENURE,31,2426,3.0000043935000003,3.0015260265,3.0088763835,3.0111905555000003,3.079967625
ALL_REPRESENTATIVE_TENURE,32,2297,3.099989271,3.1012084418000003,3.1090520958,3.11721053808,3.2006491410000004
ALL_REPRESENTATIVE_TENURE,33,2270,3.1999737250000004,3.2008430836,3.2021736578000004,3.21514528889,3.299094058
ALL_REPRESENTATIVE_TENURE,34,2107,3.299967554,3.3010413118,3.3089320538000004,3.3196610776200006,3.3992338870000003
ALL_REPRESENTATIVE_TENURE,35,1991,3.399968545,3.4012759170000004,3.408020177,3.4198164857,3.499812136
ALL_REPRESENTATIVE_TENURE,36,1850,3.4999568930000002,3.5017337889,3.5092417778500002,3.5121197871000005,3.9006935030000003
ALL_REPRESENTATIVE_TENURE,37,1776,3.5999982945,3.6016650885000003,3.6089990285000004,3.61898193175,3.70027987
ALL_REPRESENTATIVE_TENURE,38,1711,3.6999201740000003,3.7016193950000003,3.7083998330000005,3.7112072105000005,3.7877986010000004
ALL_REPRESENTATIVE_TENURE,39,1581,3.799959867,3.8014878980000004,3.808445045,3.8111331450000003,4.199352657
ALL_REPRESENTATIVE_TENURE,40,1486,3.8999596075000005,3.901623529,3.9086298050000003,3.9124985684500007,4.020901119
ALL_REPRESENTATIVE_TENURE,41,1445,3.9999600510000004,4.0017527082,4.008909339200001,4.0114401134,4.279630989
