score_delta_rounded_1e6,count,within_0_25
0.012454,1,1
0.012456,1,1
0.012471,1,1
0.012503,1,1
0.012531,1,1
0.01262,1,1
0.012639,1,1
0.012663,1,1
0.012711,1,1
0.01279,1,1
0.012816,1,1
0.012832,1,1
0.012853,1,1
0.012854,1,1
0.012862,1,1
0.012886,1,1
0.01293,1,1
0.012931,1,1
0.012992,1,1
0.013025,1,1
0.013036,1,1
0.013186,1,1
0.013201,1,1
0.013276,1,1
0.013284,1,1
0.013293,1,1
0.013302,1,1
0.013359,1,1
0.013379,1,1
0.013446,1,1
0.01346,1,1
0.013463,1,1
0.013496,1,1
0.013534,1,1
0.01357,1,1
0.013665,1,1
0.013736,1,1
0.013825,1,1
0.013851,1,1
0.013913,1,1
0.013947,1,1
0.013951,1,1
0.013954,1,1
0.014037,1,1
0.01411,1,1
0.014148,1,1
0.014196,1,1
0.014205,1,1
0.014222,1,1
0.014246,1,1
0.014304,1,1
0.014311,1,1
0.014319,1,1
0.014355,1,1
0.01436,1,1
0.014418,1,1
0.014445,1,1
0.014493,1,1
0.014507,1,1
0.014514,1,1
0.014526,1,1
0.014547,1,1
0.014632,1,1
0.014669,1,1
0.014678,1,1
0.014696,1,1
0.014739,1,1
0.014741,1,1
0.01479,1,1
0.014792,1,1
0.014813,1,1
0.014911,1,1
0.01494,1,1
0.014966,1,1
0.015013,1,1
0.015032,1,1
0.015079,1,1
0.015093,1,1
0.015129,1,1
0.01524,1,1
0.015274,1,1
0.015345,1,1
0.015375,1,1
0.015385,1,1
0.015419,1,1
0.01544,1,1
0.015496,1,1
0.015521,1,1
0.015625,15,1
0.015665,1,1
0.015698,1,1
0.015739,1,1
0.01576,1,1
0.015766,1,1
0.015808,1,1
0.015852,1,1
0.015878,1,1
0.015899,1,1
0.015946,1,1
0.015956,1,1
0.016257,1,1
0.016282,1,1
0.016317,1,1
0.016424,1,1
0.016446,1,1
0.016451,1,1
0.016567,1,1
0.016584,1,1
0.016598,1,1
0.016603,1,1
0.016608,1,1
0.016621,1,1
0.016651,1,1
0.016654,1,1
0.016678,1,1
0.016768,1,1
0.016773,1,1
0.016879,1,1
0.01688,1,1
0.0169,1,1
0.016926,1,1
0.016968,1,1
0.017005,2,1
0.017036,1,1
0.017037,1,1
0.017082,1,1
0.017119,1,1
0.017153,1,1
0.017178,1,1
0.017206,1,1
0.017212,1,1
0.017301,1,1
0.017322,1,1
0.017328,1,1
0.017371,1,1
0.017462,1,1
0.017477,1,1
0.01748,1,1
0.01749,1,1
0.017499,1,1
0.01751,1,1
0.017538,1,1
0.017566,1,1
0.017571,1,1
0.017583,1,1
0.017598,1,1
0.017623,1,1
0.01766,1,1
0.017737,1,1
0.017756,1,1
0.017809,1,1
0.017893,1,1
0.017915,1,1
0.017917,1,1
0.017937,1,1
0.01795,1,1
0.017959,1,1
0.017961,1,1
0.017969,1,1
0.017997,1,1
0.018017,1,1
0.018024,1,1
0.018082,1,1
0.018084,1,1
0.018115,1,1
0.018228,1,1
0.018287,1,1
0.018332,1,1
0.018374,1,1
0.018434,1,1
0.018545,1,1
0.018555,1,1
0.018556,1,1
0.018627,1,1
0.018657,1,1
0.018659,1,1
0.018781,1,1
0.019031,1,1
0.019055,1,1
0.019097,1,1
0.0191,1,1
0.01912,1,1
0.019129,1,1
0.019148,1,1
0.019162,1,1
0.019168,1,1
0.019235,1,1
0.019248,1,1
0.019276,1,1
0.019322,1,1
0.019444,1,1
0.019464,1,1
0.019513,1,1
0.019553,1,1
0.019571,1,1
0.019595,1,1
0.019646,1,1
0.019669,1,1
0.0197,1,1
0.019712,1,1
0.019766,1,1
0.019775,1,1
0.019791,1,1
0.019907,1,1
0.019914,1,1
0.019916,1,1
0.019934,1,1
0.019993,1,1
0.020045,1,1
0.020084,1,1
0.020144,1,1
0.020147,1,1
0.020212,1,1
0.020232,1,1
0.020282,1,1
0.020328,1,1
0.020333,1,1
0.020344,1,1
0.020382,1,1
0.020412,1,1
0.020423,1,1
0.020483,1,1
0.020583,1,1
0.020591,1,1
0.020604,1,1
0.020628,1,1
0.02063,1,1
0.020665,1,1
0.020688,1,1
0.020823,1,1
0.020858,1,1
0.020917,1,1
0.020929,1,1
0.021042,1,1
0.021083,1,1
0.021108,1,1
0.021176,1,1
0.021196,1,1
0.021287,1,1
0.021307,1,1
0.021388,1,1
0.021425,1,1
0.021438,1,1
0.021447,1,1
0.021507,1,1
0.021532,1,1
0.021751,1,1
0.021807,1,1
0.021816,1,1
0.021881,1,1
0.021924,1,1
0.021955,1,1
0.021962,1,1
0.021968,1,1
0.022027,1,1
0.022051,1,1
0.022076,1,1
0.022178,1,1
0.022184,1,1
0.022219,1,1
0.022243,1,1
0.022252,1,1
0.02232,1,1
0.022353,1,1
0.022384,1,1
0.022423,1,1
0.022457,1,1
