key,policy,scan,scan_ns,pid,baseline_raw,candidate_raw,delta_d,delta_y,delta_v,aLead,reason
00000247--b657952782--19,P2,254,1236463240682,1000321,318,332,-0.5000019073486328,0.0625,0.0,-0.42785833302733023,P2_CAUSAL_PINGPONG
00000247--b657952782--2,P2,343,225443267596,1000431,379,394,-0.9886703491210938,0.6875,0.5,-0.3514127656283157,P2_CAUSAL_PINGPONG
00000247--b657952782--20,P2,4,1271463436300,1000003,4,12,-0.24460601806640625,0.71875,0.25,0.0,P2_CAUSAL_PINGPONG
00000247--b657952782--20,P2,5,1271562338503,1000003,4,12,-0.24665069580078125,0.71875,0.25,-0.2765686655404936,P2_CAUSAL_PINGPONG
00000247--b657952782--20,P2,409,1311962606239,1000421,411,412,1.4967041015625,-0.15625,-0.25,-0.017708420422417243,P2_CAUSAL_PINGPONG
00000247--b657952782--21,P2,111,1342153269413,1000149,146,154,0.75,0.0,0.0,0.13120061828547883,P2_CAUSAL_PINGPONG
00000247--b657952782--21,P2,193,1350362813708,1000217,208,214,1.0036582946777344,-0.03125,0.25,-0.45280033512201684,P2_CAUSAL_PINGPONG
00000247--b657952782--21,P2,369,1367952937033,1000351,338,339,0.9826927185058594,-0.125,-0.75,-0.09356891349282948,P2_CAUSAL_PINGPONG
00000247--b657952782--21,P2,374,1368453031924,1000344,331,336,1.7445602416992188,-0.09375,-0.25,0.034750776294600536,P2_CAUSAL_PINGPONG
00000247--b657952782--21,P2,379,1368954032392,1000344,331,336,1.738997459411621,-0.09375,-0.5,0.2425588227584311,P2_CAUSAL_PINGPONG
00000247--b657952782--22,P2,21,1393152420704,1000016,17,24,2.7557106018066406,0.75,0.25,-0.2955294584683269,P2_CAUSAL_PINGPONG
00000247--b657952782--22,P2,300,1421052573073,1000372,341,332,-0.75,0.0,0.0,-0.26342813918286956,P2_CAUSAL_PINGPONG
00000247--b657952782--22,P2,494,1440452902097,1000527,491,496,0.75,0.15625,0.0,-0.06331835759243709,P2_CAUSAL_PINGPONG
00000247--b657952782--23,P2,279,1478952784881,1000161,162,163,-0.5054168701171875,0.59375,-0.25,-0.267392672867245,P2_CAUSAL_PINGPONG
00000247--b657952782--24,P2,39,1514942628117,1000024,59,24,-1.5,0.3125,0.0,0.34639161691857345,P2_CAUSAL_PINGPONG
00000247--b657952782--24,P2,44,1515442923204,1000048,48,66,-2.0,-0.09375,0.0,-0.2161512330253716,P2_CAUSAL_PINGPONG
00000247--b657952782--24,P2,44,1515442923204,1000061,60,55,-2.0,0.3125,0.0,-0.3212376782314589,P2_CAUSAL_PINGPONG
00000247--b657952782--24,P2,502,1561242985552,1000547,519,526,0.25,-0.5,0.0,0.010606786842830913,P2_CAUSAL_PINGPONG
00000247--b657952782--24,P2,503,1561342602446,1000547,519,526,0.0,-0.5,0.0,0.006364072105698547,P2_CAUSAL_PINGPONG
00000247--b657952782--24,P2,504,1561443025090,1000547,519,526,0.0,-0.5,0.0,0.003818443263419128,P2_CAUSAL_PINGPONG
00000247--b657952782--24,P2,505,1561542996606,1000547,519,526,0.0,-0.5,0.0,0.002291065958051477,P2_CAUSAL_PINGPONG
00000247--b657952782--24,P2,509,1561942797150,1000547,519,526,0.25,-0.5,0.0,0.0002969221481634713,P2_CAUSAL_PINGPONG
00000247--b657952782--24,P2,510,1562042281601,1000564,543,536,-1.0,0.9375,0.0,0.46822953547220236,P2_CAUSAL_PINGPONG
00000247--b657952782--24,P2,582,1569242702581,1000641,609,604,-2.0057449340820312,-0.375,-0.25,-0.003924840950391258,P2_CAUSAL_PINGPONG
00000247--b657952782--24,P2,589,1569942307880,1000620,638,585,-1.8758201599121094,0.46875,-0.25,-0.007787881959688067,P2_CAUSAL_PINGPONG
00000247--b657952782--24,P2,589,1569942307880,1000641,609,604,-2.132720947265625,-0.28125,-0.25,-0.020832706880014283,P2_CAUSAL_PINGPONG
00000247--b657952782--25,P2,6,1571644912149,1000004,5,24,-2.0,-0.03125,0.0,-0.09941667106630192,P2_CAUSAL_PINGPONG
00000247--b657952782--25,P2,6,1571644912149,1000015,16,27,-2.0,-0.0625,0.0,-0.09941667106630192,P2_CAUSAL_PINGPONG
00000247--b657952782--25,P2,6,1571644912149,1000016,17,22,-1.9974288940429688,-0.09375,0.25,-0.5538155937194824,P2_CAUSAL_PINGPONG
00000247--b657952782--25,P2,11,1572142379496,1000008,9,25,-1.75,-0.75,0.0,-0.2889554063475494,P2_CAUSAL_PINGPONG
00000247--b657952782--25,P2,11,1572142379496,1000015,16,27,-2.005838394165039,-0.125,-0.25,0.5763206086116099,P2_CAUSAL_PINGPONG
00000247--b657952782--25,P2,11,1572142379496,1000016,17,22,-2.0,-0.3125,0.0,-0.27342811366310116,P2_CAUSAL_PINGPONG
00000247--b657952782--25,P2,25,1573545020825,1000052,58,53,-2.0,-0.0625,0.0,-0.31079128019430885,P2_CAUSAL_PINGPONG
00000247--b657952782--25,P2,29,1573943162586,1000030,31,32,-2.0,0.125,0.0,-0.046759088460693946,P2_CAUSAL_PINGPONG
00000247--b657952782--25,P2,32,1574242636720,1000045,51,46,-2.0,0.28125,0.0,-0.0003522069383325697,P2_CAUSAL_PINGPONG
00000247--b657952782--25,P2,32,1574242636720,1000055,55,58,-2.0,0.09375,0.0,-0.006213703935865403,P2_CAUSAL_PINGPONG
00000247--b657952782--25,P2,35,1574543158296,1000052,53,54,-2.0,-0.09375,0.0,-0.3727096500736798,P2_CAUSAL_PINGPONG
00000247--b657952782--25,P2,35,1574543158296,1000055,55,58,-2.0,-0.0625,0.0,-0.37209620034034097,P2_CAUSAL_PINGPONG
00000247--b657952782--25,P2,41,1575142313240,1000080,77,53,-1.9943008422851562,0.0,0.25,-0.19093007044117605,P2_CAUSAL_PINGPONG
00000247--b657952782--25,P2,43,1575343124886,1000080,53,77,1.993896484375,0.15625,-0.25,0.38738366663520685,P2_CAUSAL_PINGPONG
00000247--b657952782--25,P2,67,1577743250552,1000117,106,107,-1.75,-0.21875,0.0,-0.3315731143900248,P2_CAUSAL_PINGPONG
00000247--b657952782--25,P2,435,1614534541626,1000513,476,477,-1.9999990463256836,-0.03125,0.0,-0.3822513202349947,P2_CAUSAL_PINGPONG
00000247--b657952782--25,P2,537,1624733413019,1000634,594,613,-1.75,0.15625,0.0,-0.03267629815630435,P2_CAUSAL_PINGPONG
00000247--b657952782--25,P2,539,1624943172593,1000626,591,586,-0.75,0.53125,0.0,-0.01851583626180435,P2_CAUSAL_PINGPONG
00000247--b657952782--25,P2,540,1625042996396,1000634,594,613,-1.75,0.15625,0.0,-0.007058080401761738,P2_CAUSAL_PINGPONG
00000247--b657952782--25,P2,544,1625432684238,1000626,586,591,0.5,-0.53125,0.0,-0.0014397914277179062,P2_CAUSAL_PINGPONG
00000247--b657952782--25,P2,550,1626032674995,1000633,597,593,-2.0,-0.03125,0.0,-0.42144392220892574,P2_CAUSAL_PINGPONG
00000247--b657952782--25,P2,550,1626032674995,1000645,604,612,-2.0000009536743164,-0.03125,0.0,-0.40600978398019066,P2_CAUSAL_PINGPONG
00000247--b657952782--25,P2,550,1626032674995,1000663,622,620,-2.0058069229125977,0.03125,-0.25,-0.03844255770383054,P2_CAUSAL_PINGPONG
00000247--b657952782--27,P2,82,1699235391783,1000101,97,125,-2.000001907348633,-0.0625,0.0,0.057282591337445954,P2_CAUSAL_PINGPONG
00000247--b657952782--27,P2,82,1699235391783,1000113,109,113,-2.0,-0.0625,0.0,0.06036040230486589,P2_CAUSAL_PINGPONG
00000247--b657952782--27,P2,278,1718832312658,1000411,386,388,-2.0,0.09375,0.0,-0.013233985141906164,P2_CAUSAL_PINGPONG
00000247--b657952782--27,P2,282,1719232191429,1000391,401,369,-2.1873035430908203,-0.0625,0.0,0.13925481163734715,P2_CAUSAL_PINGPONG
00000247--b657952782--27,P2,282,1719232191429,1000394,371,412,-2.0,-0.0625,0.0,-0.2895105925371595,P2_CAUSAL_PINGPONG
00000247--b657952782--27,P2,287,1719724869471,1000385,395,363,-1.75,0.03125,0.0,-0.18071832817869898,P2_CAUSAL_PINGPONG
