key,policy,scan,scan_ns,pid,baseline_raw,candidate_raw,delta_d,delta_y,delta_v,aLead,reason
00000254--0ac259250e--38,P5,19,2337400163590,1000001,46,2,0.11345291137695312,-0.4375,-1.5,-4.462918317480371,P5_CURRENT_MEMBER_MEDOID
00000257--d1cacb63a0--4,P5,5,326342823602,1000013,17,14,2.0253334045410156,-0.25,1.5,-2.990899961513842,P5_CURRENT_MEMBER_MEDOID
00000264--31b802e87a--3,P5,270,280032400609,1000067,60,57,-1.7603893280029297,-0.34375,1.5,-1.5277211562853112,P5_CURRENT_MEMBER_MEDOID
00000269--4014745f93--3,P5,16,252345768843,1000007,19,8,-0.5376033782958984,0.21875,-1.5,-2.3614456430769124,P5_CURRENT_MEMBER_MEDOID
00000273--d384c0a41a--9,P5,217,615891346920,1000151,151,149,1.725067138671875,0.34375,-1.5,1.9210808492449638,P5_CURRENT_MEMBER_MEDOID
00000283--b395338ef9--5,P5,271,1212647737850,1000002,7,3,-0.7880916595458984,-0.25,-1.5,0.9321976758341329,P5_CURRENT_MEMBER_MEDOID
00000286--de6bd2c087--31,P5,162,5095225999150,1000149,184,150,1.5400848388671875,0.0,1.5,-1.2686848924286953,P5_CURRENT_MEMBER_MEDOID
00000286--de6bd2c087--31,P5,163,5095325654507,1000149,184,150,1.5399818420410156,0.0,1.5,-1.0912780668929525,P5_CURRENT_MEMBER_MEDOID
0000029b--52f66a3abc--30,P5,137,1910828856569,1000084,93,79,2.043722152709961,-0.09375,1.5,-3.912445787045085,P5_CURRENT_MEMBER_MEDOID
00000247--b657952782--33,P5,418,2092902562266,1000130,129,131,1.7781486511230469,0.40625,1.25,-2.5497715054439696,P5_CURRENT_MEMBER_MEDOID
00000247--b657952782--6,P5,27,433842864246,1000059,50,49,-1.7912712097167969,-0.1875,-1.25,0.0,P5_CURRENT_MEMBER_MEDOID
00000254--0ac259250e--38,P5,12,2336701189365,1000006,18,11,2.6621780395507812,0.34375,-1.25,-1.2014992786072063,P5_CURRENT_MEMBER_MEDOID
00000254--0ac259250e--38,P5,18,2337300588556,1000001,46,2,0.4110908508300781,-0.4375,-1.25,-5.1013995178922364,P5_CURRENT_MEMBER_MEDOID
00000254--0ac259250e--8,P5,249,560470464855,1000126,103,104,0.849273681640625,0.40625,-1.25,-4.800000000000001,P5_CURRENT_MEMBER_MEDOID
00000254--0ac259250e--8,P5,250,560570769159,1000126,103,104,0.8462142944335938,0.34375,-1.25,-3.6000000000000005,P5_CURRENT_MEMBER_MEDOID
00000254--0ac259250e--8,P5,251,560671237441,1000116,118,106,0.7164897918701172,-0.5625,-1.25,-3.804219141406672,P5_CURRENT_MEMBER_MEDOID
00000254--0ac259250e--8,P5,251,560671237441,1000126,103,104,0.5777587890625,0.34375,-1.25,-3.8427167115326695,P5_CURRENT_MEMBER_MEDOID
00000255--d1d0ee73c5--25,P5,123,5265480155180,1000044,74,44,1.7843894958496094,0.21875,1.25,-0.6584491250479879,P5_CURRENT_MEMBER_MEDOID
00000255--d1d0ee73c5--25,P5,124,5265581020896,1000044,74,44,2.283069610595703,0.21875,1.25,-0.5642323106847122,P5_CURRENT_MEMBER_MEDOID
00000255--d1d0ee73c5--25,P5,125,5265680387502,1000044,74,44,2.2855300903320312,0.21875,1.25,-0.4835897021438794,P5_CURRENT_MEMBER_MEDOID
00000255--d1d0ee73c5--37,P5,58,5978940335260,1000017,18,44,0.7884559631347656,0.15625,1.25,-0.2661392482359506,P5_CURRENT_MEMBER_MEDOID
00000257--d1cacb63a0--4,P5,4,326243564277,1000013,17,14,1.7696723937988281,-0.28125,1.25,0.0,P5_CURRENT_MEMBER_MEDOID
00000257--d1cacb63a0--7,P5,9,506833873572,1000018,20,19,0.33652496337890625,0.71875,-1.25,0.012718672217574445,P5_CURRENT_MEMBER_MEDOID
00000257--d1cacb63a0--7,P5,10,506934185114,1000018,20,19,0.33282470703125,0.6875,-1.25,0.45597661879658385,P5_CURRENT_MEMBER_MEDOID
00000259--f920fb6ddd--22,P5,44,1396988688179,1000032,32,33,1.9681739807128906,-0.4375,-1.25,2.433194432380335,P5_CURRENT_MEMBER_MEDOID
00000259--f920fb6ddd--24,P5,16,1514179386285,1000000,7,1,1.2178573608398438,-0.375,-1.25,0.39343402983751125,P5_CURRENT_MEMBER_MEDOID
00000259--f920fb6ddd--24,P5,17,1514278431463,1000000,7,1,1.2177696228027344,-0.3125,-1.25,0.23606041790250673,P5_CURRENT_MEMBER_MEDOID
00000259--f920fb6ddd--24,P5,18,1514379299192,1000000,7,1,0.9669303894042969,-0.3125,-1.25,0.14163625074150404,P5_CURRENT_MEMBER_MEDOID
00000259--f920fb6ddd--24,P5,19,1514479278326,1000000,7,1,0.9678134918212891,-0.3125,-1.25,0.08498175044490242,P5_CURRENT_MEMBER_MEDOID
00000259--f920fb6ddd--7,P5,6,493079646249,1000025,27,26,0.9698562622070312,-0.375,-1.25,1.980244413367183,P5_CURRENT_MEMBER_MEDOID
00000259--f920fb6ddd--7,P5,7,493178682279,1000025,27,26,0.7152938842773438,-0.375,-1.25,1.862040067842163,P5_CURRENT_MEMBER_MEDOID
0000025c--0795289e2c--1,P5,82,122184442335,1000087,104,86,0.7192420959472656,0.1875,-1.25,-4.158205982123697,P5_CURRENT_MEMBER_MEDOID
00000261--4ff9c41127--7,P5,61,593247313840,1000067,64,65,-1.2696762084960938,-0.875,-1.25,-6.500662888194786,P5_CURRENT_MEMBER_MEDOID
00000264--31b802e87a--29,P5,79,1820771960007,1000059,71,58,1.4675521850585938,-0.09375,-1.25,2.7441852990953346,P5_CURRENT_MEMBER_MEDOID
00000264--31b802e87a--3,P5,269,279931466757,1000067,60,57,-1.759455680847168,-0.21875,1.25,-1.3546979135463255,P5_CURRENT_MEMBER_MEDOID
00000264--31b802e87a--41,P5,72,2540191736665,1000001,3,1,-2.72022020816803,0.5625,1.25,-0.6069500301084887,P5_CURRENT_MEMBER_MEDOID
00000264--31b802e87a--41,P5,73,2540291433193,1000001,3,1,-2.965641498565674,0.5625,1.25,-0.437546311306219,P5_CURRENT_MEMBER_MEDOID
00000264--31b802e87a--41,P5,74,2540391216344,1000001,3,1,-2.7162160873413086,0.5,1.25,-0.3133224666207258,P5_CURRENT_MEMBER_MEDOID
00000264--31b802e87a--41,P5,75,2540491398279,1000001,3,1,-2.717341959476471,0.4375,1.25,-0.23100579779902136,P5_CURRENT_MEMBER_MEDOID
00000264--31b802e87a--41,P5,76,2540591874874,1000001,3,1,-2.470245361328125,0.40625,1.25,-0.1848353577371526,P5_CURRENT_MEMBER_MEDOID
00000264--31b802e87a--41,P5,77,2540691419463,1000001,3,1,-2.468726336956024,0.59375,1.25,-0.16077327430364388,P5_CURRENT_MEMBER_MEDOID
00000264--31b802e87a--41,P5,78,2540791160630,1000001,3,1,-2.219710409641266,0.59375,1.25,-0.14365286352306558,P5_CURRENT_MEMBER_MEDOID
00000266--f9c40304ea--19,P5,71,1219776652943,1000003,4,3,0.9790306091308594,-0.34375,-1.25,0.6283478018757097,P5_CURRENT_MEMBER_MEDOID
00000266--f9c40304ea--3,P5,61,258787296878,1000118,112,108,-0.26793670654296875,0.875,-1.25,-0.5972375832401828,P5_CURRENT_MEMBER_MEDOID
00000269--4014745f93--3,P5,14,252145977605,1000007,19,8,-0.28079795837402344,0.21875,-1.25,-1.74852110869573,P5_CURRENT_MEMBER_MEDOID
00000269--4014745f93--3,P5,15,252245918170,1000007,19,8,-0.28314208984375,0.25,-1.25,-2.232187797942193,P5_CURRENT_MEMBER_MEDOID
0000026a--171a0a1f5c--4,P5,274,321284215729,1000254,239,223,1.4666805267333984,1.1875,-1.25,0.0,P5_CURRENT_MEMBER_MEDOID
0000026d--2363789071--9,P5,342,677641845287,1000368,373,366,-2.499990463256836,-0.3125,-1.25,1.8497635440762332,P5_CURRENT_MEMBER_MEDOID
00000273--d384c0a41a--23,P5,288,1463010057299,1000194,200,190,0.26879119873046875,0.3125,1.25,0.07494239192716678,P5_CURRENT_MEMBER_MEDOID
00000273--d384c0a41a--29,P5,97,1803759849724,1000038,47,39,-1.7963943481445312,0.03125,-1.25,1.5140307094510859,P5_CURRENT_MEMBER_MEDOID
00000280--91181081d4--38,P5,43,4749500460099,1000034,59,35,1.7830314636230469,-1.21875,1.25,-0.8029039112078044,P5_CURRENT_MEMBER_MEDOID
00000280--91181081d4--7,P5,44,2889760121680,1000045,49,45,2.525026321411133,-0.125,1.25,-0.6272817807177731,P5_CURRENT_MEMBER_MEDOID
00000280--91181081d4--7,P5,45,2889860997460,1000045,49,45,3.0230445861816406,-0.125,1.25,-0.5460289623149306,P5_CURRENT_MEMBER_MEDOID
00000286--de6bd2c087--31,P5,161,5095125321814,1000149,184,150,1.7829971313476562,-0.4375,1.25,-0.9214026572317544,P5_CURRENT_MEMBER_MEDOID
00000294--307ed6c5e3--1,P5,13,169733659684,1000001,13,2,1.964141845703125,0.625,-1.25,1.9608988088920607,P5_CURRENT_MEMBER_MEDOID
0000029b--52f66a3abc--21,P5,11,1358189380474,1000002,14,3,1.9639701843261719,-0.375,-1.25,1.146840597834636,P5_CURRENT_MEMBER_MEDOID
0000029b--52f66a3abc--21,P5,12,1358289965068,1000002,14,3,1.9621467590332031,-0.375,-1.25,0.9178439020262553,P5_CURRENT_MEMBER_MEDOID
0000029b--52f66a3abc--30,P5,135,1910631299825,1000084,93,79,1.7754993438720703,-0.1875,1.25,-4.274933599991396,P5_CURRENT_MEMBER_MEDOID
00000247--b657952782--17,P5,29,1093963012836,1000022,25,23,2.272772789001465,0.0,1.0,-1.2465297905550277,P5_CURRENT_MEMBER_MEDOID
00000247--b657952782--33,P5,417,2092802963338,1000130,129,131,1.522857666015625,0.25,1.0,-1.706037738344446,P5_CURRENT_MEMBER_MEDOID
00000247--b657952782--7,P5,45,495633003394,1000058,57,56,-2.271879196166992,-0.5625,-1.0,0.0,P5_CURRENT_MEMBER_MEDOID
00000252--d191bee66c--1,P5,2,134558582843,1000003,11,4,0.16585922241210938,-0.8125,-1.0,0.0,P5_CURRENT_MEMBER_MEDOID
00000252--d191bee66c--1,P5,3,134657768605,1000003,11,4,0.17229461669921875,-0.8125,-1.0,0.0,P5_CURRENT_MEMBER_MEDOID
00000252--d191bee66c--1,P5,4,134758927916,1000003,11,4,-0.0912933349609375,-0.8125,-1.0,0.0,P5_CURRENT_MEMBER_MEDOID
00000254--0ac259250e--21,P5,107,1326281136719,1000104,127,92,-3.02410888671875,-0.46875,-1.0,0.025673893197390316,P5_CURRENT_MEMBER_MEDOID
00000254--0ac259250e--38,P5,8,2336302181236,1000006,18,11,2.9666290283203125,0.15625,-1.0,-0.28868342630402655,P5_CURRENT_MEMBER_MEDOID
00000254--0ac259250e--38,P5,9,2336401974908,1000006,18,11,2.720043182373047,0.1875,-1.0,-0.16238337017001322,P5_CURRENT_MEMBER_MEDOID
00000254--0ac259250e--38,P5,10,2336501917740,1000006,18,11,2.713459014892578,0.25,-1.0,-0.6709251548275225,P5_CURRENT_MEMBER_MEDOID
00000254--0ac259250e--38,P5,11,2336600901493,1000006,18,11,2.6875991821289062,0.25,-1.0,-0.759051769427747,P5_CURRENT_MEMBER_MEDOID
00000254--0ac259250e--38,P5,21,2337600502780,1000018,33,19,0.17364501953125,0.1875,-1.0,-3.6541056168691757,P5_CURRENT_MEMBER_MEDOID
00000254--0ac259250e--38,P5,22,2337701246781,1000018,33,19,0.18307113647460938,0.28125,-1.0,-3.411230310311726,P5_CURRENT_MEMBER_MEDOID
00000254--0ac259250e--4,P5,317,327191230995,1000105,92,97,0.28110313415527344,0.84375,1.0,-3.0215401789662106,P5_CURRENT_MEMBER_MEDOID
00000255--d1d0ee73c5--25,P5,120,5265180526708,1000044,74,44,1.7660179138183594,0.25,1.0,-1.3076828994777454,P5_CURRENT_MEMBER_MEDOID
00000255--d1d0ee73c5--25,P5,121,5265284141899,1000044,74,44,1.7731895446777344,0.25,1.0,-1.054684743242245,P5_CURRENT_MEMBER_MEDOID
00000255--d1d0ee73c5--25,P5,122,5265382518461,1000044,74,44,1.7704696655273438,0.21875,1.0,-0.8009027775878677,P5_CURRENT_MEMBER_MEDOID
00000255--d1d0ee73c5--37,P5,59,5979040741164,1000018,19,46,1.029083251953125,0.125,1.0,-0.007151105460673934,P5_CURRENT_MEMBER_MEDOID
00000255--d1d0ee73c5--37,P5,61,5979240178366,1000018,19,46,0.776580810546875,0.0625,1.0,0.2171350687121131,P5_CURRENT_MEMBER_MEDOID
00000255--d1d0ee73c5--37,P5,63,5979440694607,1000018,19,46,1.0286474227905273,-0.03125,1.0,0.2290007838186358,P5_CURRENT_MEMBER_MEDOID
00000257--d1cacb63a0--1,P5,35,149353111615,1000053,48,27,-0.9709339141845703,0.34375,1.0,-0.5781306005003097,P5_CURRENT_MEMBER_MEDOID
00000257--d1cacb63a0--30,P5,47,1890585325169,1000002,3,41,1.52777099609375,0.5625,1.0,-4.385356510473442,P5_CURRENT_MEMBER_MEDOID
00000257--d1cacb63a0--7,P5,8,506732973184,1000018,20,19,0.35468292236328125,0.6875,-1.0,0.09555182409887347,P5_CURRENT_MEMBER_MEDOID
00000259--f920fb6ddd--22,P5,43,1396888912258,1000032,32,33,2.2248497009277344,-0.40625,-1.0,1.4372941049612382,P5_CURRENT_MEMBER_MEDOID
00000259--f920fb6ddd--24,P5,15,1514078698910,1000000,7,1,1.72412109375,-0.4375,-1.0,0.24990483661522117,P5_CURRENT_MEMBER_MEDOID
00000259--f920fb6ddd--7,P5,5,492979488362,1000025,27,26,0.9747543334960938,-0.375,-1.0,0.9752122985300957,P5_CURRENT_MEMBER_MEDOID
0000025c--0795289e2c--2,P5,7,174665245405,1000000,19,1,1.0265426635742188,-0.46875,1.0,-0.1935577088594087,P5_CURRENT_MEMBER_MEDOID
0000025d--70dff69b9d--19,P5,40,1215719170163,1000010,21,11,1.21978759765625,-0.6875,-1.0,0.7299933827890661,P5_CURRENT_MEMBER_MEDOID
0000025d--70dff69b9d--19,P5,41,1215819414902,1000010,21,11,1.2357177734375,-0.6875,-1.0,0.43799602967343965,P5_CURRENT_MEMBER_MEDOID
0000025d--70dff69b9d--19,P5,42,1215917425188,1000010,21,11,0.9740142822265625,-0.6875,-1.0,0.26279761780406374,P5_CURRENT_MEMBER_MEDOID
0000025d--70dff69b9d--19,P5,43,1216017558077,1000010,21,11,0.9853897094726562,-0.6875,-1.0,0.15767857068243823,P5_CURRENT_MEMBER_MEDOID
0000025d--70dff69b9d--7,P5,53,496892606985,1000052,82,51,2.775726318359375,-0.375,1.0,-1.991751490745424,P5_CURRENT_MEMBER_MEDOID
00000261--4ff9c41127--1,P5,11,228237152232,1000000,13,7,2.7237777709960938,0.09375,-1.0,2.8349839421922773,P5_CURRENT_MEMBER_MEDOID
00000264--31b802e87a--10,P5,68,679761904522,1000098,104,96,-2.2765536308288574,-0.0625,-1.0,1.5929512970949917,P5_CURRENT_MEMBER_MEDOID
00000264--31b802e87a--15,P5,21,975002016356,1000021,31,22,0.22208595275878906,-0.78125,-1.0,-0.841598131823277,P5_CURRENT_MEMBER_MEDOID
00000264--31b802e87a--18,P5,30,1155881768100,1000005,31,6,-3.025371551513672,-0.25,-1.0,0.1476209709338434,P5_CURRENT_MEMBER_MEDOID
00000264--31b802e87a--18,P5,31,1155981682523,1000005,31,6,-3.023477554321289,-0.21875,-1.0,0.29293334392286824,P5_CURRENT_MEMBER_MEDOID
00000264--31b802e87a--41,P5,81,2541091605459,1000061,59,1,-1.9747435450553894,0.125,1.0,0.0,P5_CURRENT_MEMBER_MEDOID
00000264--31b802e87a--41,P5,82,2541191778351,1000061,59,1,-1.7259743213653564,0.0625,1.0,-0.5880735694904062,P5_CURRENT_MEMBER_MEDOID
00000266--f9c40304ea--19,P5,66,1219276365823,1000003,4,3,1.5562248229980469,-0.375,-1.0,0.4854606772757829,P5_CURRENT_MEMBER_MEDOID
00000266--f9c40304ea--19,P5,67,1219376139055,1000003,4,3,1.5497856140136719,-0.375,-1.0,0.5768970455046986,P5_CURRENT_MEMBER_MEDOID
00000266--f9c40304ea--19,P5,68,1219476608745,1000003,4,3,1.3054275512695312,-0.34375,-1.0,0.6222560158222924,P5_CURRENT_MEMBER_MEDOID
00000266--f9c40304ea--19,P5,69,1219576326462,1000003,4,3,1.2992668151855469,-0.34375,-1.0,0.6157244411327428,P5_CURRENT_MEMBER_MEDOID
00000266--f9c40304ea--19,P5,70,1219676390767,1000003,4,3,1.2341461181640625,-0.34375,-1.0,0.6182588973448043,P5_CURRENT_MEMBER_MEDOID
00000266--f9c40304ea--5,P5,31,375895767723,1000021,22,5,-0.7673377990722656,-0.84375,-1.0,1.2382857090198298,P5_CURRENT_MEMBER_MEDOID
00000266--f9c40304ea--5,P5,32,375998161258,1000021,22,5,-0.7649993896484375,-0.875,-1.0,0.9310056934367306,P5_CURRENT_MEMBER_MEDOID
00000266--f9c40304ea--5,P5,33,376098120235,1000021,22,5,-0.7660102844238281,-0.53125,-1.0,0.6524969219399525,P5_CURRENT_MEMBER_MEDOID
0000026a--171a0a1f5c--27,P5,15,1675434266115,1000022,23,22,-1.7241630554199219,0.03125,1.0,-0.032541072692871084,P5_CURRENT_MEMBER_MEDOID
0000026a--171a0a1f5c--27,P5,64,1680334624505,1000057,60,58,3.0156822204589844,0.03125,1.0,-1.4821832948303084,P5_CURRENT_MEMBER_MEDOID
0000026a--171a0a1f5c--4,P5,273,321184302400,1000254,239,223,1.472158432006836,1.15625,-1.0,0.0,P5_CURRENT_MEMBER_MEDOID
0000026b--4dfb361eee--9,P5,99,2845894658328,1000128,123,126,-0.7231101989746094,-0.34375,1.0,0.0,P5_CURRENT_MEMBER_MEDOID
0000026d--2363789071--57,P5,247,3548452681648,1000129,130,129,-1.7747955322265625,0.0,-1.0,1.0775568362030308,P5_CURRENT_MEMBER_MEDOID
0000026d--2363789071--87,P5,18,5325482478245,1000003,20,4,-1.2234840393066406,0.03125,1.0,-1.1409082108002429,P5_CURRENT_MEMBER_MEDOID
0000026d--2363789071--9,P5,341,677534498788,1000368,373,366,-2.0207948684692383,-0.34375,-1.0,0.9672899062432092,P5_CURRENT_MEMBER_MEDOID
0000026d--2363789071--90,P5,103,5514002432999,1000057,60,58,2.72467041015625,-0.1875,-1.0,0.8739880892460214,P5_CURRENT_MEMBER_MEDOID
0000026d--2363789071--92,P5,130,5636692360951,1000129,132,129,2.5256805419921875,-0.6875,1.0,-0.94844576011121,P5_CURRENT_MEMBER_MEDOID
00000273--d384c0a41a--4,P5,176,311791406690,1000142,143,137,-1.9818954467773438,-0.28125,-1.0,0.2336226433680783,P5_CURRENT_MEMBER_MEDOID
00000273--d384c0a41a--4,P5,178,311991537241,1000142,143,137,-2.2278404235839844,-0.59375,-1.0,-0.2096153913904047,P5_CURRENT_MEMBER_MEDOID
00000273--d384c0a41a--4,P5,179,312082659016,1000142,143,137,-2.773479461669922,-0.5625,-1.0,-0.1257692348342428,P5_CURRENT_MEMBER_MEDOID
00000273--d384c0a41a--9,P5,215,615691706905,1000151,151,149,1.9807357788085938,0.34375,-1.0,-0.29753338250887684,P5_CURRENT_MEMBER_MEDOID
00000273--d384c0a41a--9,P5,216,615791531939,1000151,151,149,1.9820556640625,0.34375,-1.0,0.9024666174911233,P5_CURRENT_MEMBER_MEDOID
0000027f--cb2a133365--18,P5,5,1152767955974,1000008,11,9,-1.2303886413574219,-0.46875,1.0,-1.4592070238131578,P5_CURRENT_MEMBER_MEDOID
0000027f--cb2a133365--18,P5,6,1152860724377,1000008,11,9,-0.9795684814453125,-0.46875,1.0,-1.304705043041112,P5_CURRENT_MEMBER_MEDOID
0000027f--cb2a133365--6,P5,76,439947937836,1000029,29,23,0.018205642700195312,-1.40625,1.0,0.0,P5_CURRENT_MEMBER_MEDOID
00000280--91181081d4--38,P5,41,4749300390943,1000034,59,35,1.526763916015625,-1.1875,1.0,-0.8264356795406681,P5_CURRENT_MEMBER_MEDOID
00000280--91181081d4--38,P5,42,4749400189997,1000034,59,35,1.7766151428222656,-1.21875,1.0,-0.9187916929335561,P5_CURRENT_MEMBER_MEDOID
00000280--91181081d4--40,P5,58,4870990683688,1000045,65,45,-0.7775049209594727,0.0,-1.0,0.19729194783518855,P5_CURRENT_MEMBER_MEDOID
00000280--91181081d4--7,P5,42,2889560166927,1000045,49,45,2.5208702087402344,-0.125,1.0,-0.4183494665553066,P5_CURRENT_MEMBER_MEDOID
00000280--91181081d4--7,P5,43,2889660806948,1000045,49,45,2.3509674072265625,-0.125,1.0,-0.3207771034032968,P5_CURRENT_MEMBER_MEDOID
00000283--b395338ef9--14,P5,102,1735697968741,1000054,67,54,2.7747039794921875,0.4375,1.0,0.13525535176618564,P5_CURRENT_MEMBER_MEDOID
00000285--27dca1de75--18,P5,300,1278052207718,1000160,167,161,-1.276275634765625,0.34375,-1.0,-2.4399325349291463e-08,P5_CURRENT_MEMBER_MEDOID
00000285--27dca1de75--18,P5,301,1278151635812,1000160,167,161,-1.5259761810302734,0.3125,-1.0,-1.4639595209574878e-08,P5_CURRENT_MEMBER_MEDOID
00000285--27dca1de75--9,P5,378,745922337034,1000363,356,355,-1.5634078979492188,-0.84375,-1.0,0.5020350207894987,P5_CURRENT_MEMBER_MEDOID
00000285--27dca1de75--9,P5,379,746022417562,1000363,356,355,-1.8070526123046875,-0.84375,-1.0,0.38449517393571975,P5_CURRENT_MEMBER_MEDOID
00000286--de6bd2c087--31,P5,159,5094925344105,1000149,184,150,1.2778244018554688,-0.4375,1.0,-0.7830864545488716,P5_CURRENT_MEMBER_MEDOID
00000286--de6bd2c087--31,P5,160,5095025438384,1000149,184,150,1.5278701782226562,-0.4375,1.0,-0.6500767893001862,P5_CURRENT_MEMBER_MEDOID
00000286--de6bd2c087--31,P5,164,5095425817075,1000186,176,150,-1.4728813171386719,0.25,1.0,-0.4917785277787441,P5_CURRENT_MEMBER_MEDOID
0000028b--ca855432c0--78,P5,21,4752990926281,1000029,45,30,2.277618408203125,0.25,1.0,-2.4450215512466174,P5_CURRENT_MEMBER_MEDOID
00000294--307ed6c5e3--1,P5,11,169534619159,1000001,13,2,2.2218780517578125,0.625,-1.0,1.2100111344565996,P5_CURRENT_MEMBER_MEDOID
00000294--307ed6c5e3--1,P5,12,169635196842,1000001,13,2,1.9730148315429688,0.625,-1.0,1.701834621690634,P5_CURRENT_MEMBER_MEDOID
00000294--307ed6c5e3--13,P5,229,911274073272,1000285,286,284,2.9803428649902344,-0.1875,-1.0,0.6937430744160578,P5_CURRENT_MEMBER_MEDOID
00000294--307ed6c5e3--20,P5,3,1308634069553,1000008,28,9,2.034116744995117,0.03125,-1.0,0.0,P5_CURRENT_MEMBER_MEDOID
00000294--307ed6c5e3--26,P5,188,1687243806124,1000000,1,87,1.223562240600586,-0.21875,-1.0,-0.6609695503237628,P5_CURRENT_MEMBER_MEDOID
00000294--307ed6c5e3--8,P5,168,605223971302,1000147,145,144,-2.973447561264038,0.0625,1.0,-1.664344015935057,P5_CURRENT_MEMBER_MEDOID
0000029b--52f66a3abc--21,P5,10,1358089359137,1000002,14,3,1.9700736999511719,-0.28125,-1.0,1.2687838414451909,P5_CURRENT_MEMBER_MEDOID
0000029b--52f66a3abc--30,P5,133,1910431812651,1000084,93,79,1.5356788635253906,-0.28125,1.0,-3.97192281622108,P5_CURRENT_MEMBER_MEDOID
0000029b--52f66a3abc--30,P5,134,1910529852980,1000084,93,79,1.5261058807373047,-0.25,1.0,-4.089870212884369,P5_CURRENT_MEMBER_MEDOID
0000029b--52f66a3abc--30,P5,136,1910729588740,1000084,93,79,2.026784896850586,-0.125,1.0,-3.9187930592276494,P5_CURRENT_MEMBER_MEDOID
000002a2--b53d86b8b1--19,P5,210,1231226460979,1000097,97,111,0.8606719970703125,-0.5,1.0,-0.19127163713490508,P5_CURRENT_MEMBER_MEDOID
000002a2--b53d86b8b1--19,P5,211,1231327098710,1000097,97,111,0.8724021911621094,-0.5,1.0,-0.11476298228094305,P5_CURRENT_MEMBER_MEDOID
000002a2--b53d86b8b1--19,P5,212,1231426581521,1000097,97,111,1.1102066040039062,-0.375,1.0,-0.06885778936856582,P5_CURRENT_MEMBER_MEDOID
000002a2--b53d86b8b1--24,P5,480,1558247379597,1000213,212,210,1.525686264038086,0.46875,1.0,-0.19134766436539516,P5_CURRENT_MEMBER_MEDOID
000002a2--b53d86b8b1--25,P5,194,1589646961305,1000108,109,122,-0.78564453125,-0.0625,-1.0,1.253981276558191,P5_CURRENT_MEMBER_MEDOID
000002a2--b53d86b8b1--25,P5,197,1589946566459,1000108,109,122,-1.0262336730957031,-0.0625,-1.0,1.0085725627982718,P5_CURRENT_MEMBER_MEDOID
00000245--2c15eb5d45--19,P5,19,1197799006004,1000016,21,17,2.0170860290527344,-0.21875,0.75,-0.6968522804171535,P5_CURRENT_MEMBER_MEDOID
00000247--b657952782--13,P5,29,853982739368,1000045,45,43,1.7331466674804688,0.09375,-0.75,0.8130269945859099,P5_CURRENT_MEMBER_MEDOID
00000247--b657952782--13,P5,30,854083030497,1000045,45,43,1.7329025268554688,0.09375,-0.75,0.7910338343835076,P5_CURRENT_MEMBER_MEDOID
00000247--b657952782--13,P5,31,854182623924,1000045,45,43,1.7307968139648438,0.09375,-0.75,0.5489605189822181,P5_CURRENT_MEMBER_MEDOID
00000247--b657952782--13,P5,32,854283048536,1000045,45,43,1.4829483032226562,0.0625,-0.75,0.28724516274886486,P5_CURRENT_MEMBER_MEDOID
00000247--b657952782--17,P5,27,1093762552543,1000024,43,25,1.7328929901123047,-0.03125,-0.75,-0.06958643651725255,P5_CURRENT_MEMBER_MEDOID
00000247--b657952782--28,P5,14,1752422401863,1000005,12,7,2.232802391052246,0.09375,-0.75,0.16445991177599956,P5_CURRENT_MEMBER_MEDOID
00000247--b657952782--28,P5,15,1752523217829,1000005,12,7,1.983938217163086,0.125,-0.75,0.09867594706559973,P5_CURRENT_MEMBER_MEDOID
00000247--b657952782--28,P5,16,1752622529909,1000005,12,7,1.982898235321045,0.125,-0.75,0.05920556823935984,P5_CURRENT_MEMBER_MEDOID
00000247--b657952782--39,P5,11,2412232517247,1000017,17,5,-0.7599782943725586,-0.15625,-0.75,1.0308799666571258,P5_CURRENT_MEMBER_MEDOID
00000247--b657952782--6,P5,9,432042700448,1000007,8,10,-1.6937389373779297,1.125,-0.75,-3.629664763123031,P5_CURRENT_MEMBER_MEDOID
00000247--b657952782--6,P5,10,432143250140,1000007,8,10,-1.682138442993164,1.0625,-0.75,-3.817940737039574,P5_CURRENT_MEMBER_MEDOID
00000247--b657952782--6,P5,12,432343241068,1000007,8,10,-1.9239044189453125,1.03125,-0.75,-3.758197148933024,P5_CURRENT_MEMBER_MEDOID
00000250--8354d55131--1,P5,30,118927798514,1000107,100,91,0.4855623245239258,1.5,-0.75,-0.4540416643103206,P5_CURRENT_MEMBER_MEDOID
00000250--8354d55131--2,P5,36,179427590426,1000001,23,2,2.4939870834350586,-0.375,-0.75,0.39285569238359885,P5_CURRENT_MEMBER_MEDOID
