key,policy,scan,scan_ns,pid,baseline_raw,candidate_raw,delta_d,delta_y,delta_v,aLead,reason
00000261--4ff9c41127--24,P3,318,1638747585318,1000284,366,265,-0.5205078125,-0.34375,-1.5,0.527798495182304,P3_LARGE_JUMP_WEAK_ADVANTAGE
0000026d--2363789071--39,P3,204,2463922068201,1000101,110,101,-1.0399017333984375,-0.09375,-1.5,1.6248666505109792,P3_LARGE_JUMP_WEAK_ADVANTAGE
00000254--0ac259250e--8,P3,340,569570744194,1000247,201,225,1.7120723724365234,-0.53125,-1.25,0.8730556398957415,P3_LARGE_JUMP_WEAK_ADVANTAGE
00000257--d1cacb63a0--3,P3,507,316542825665,1000242,281,250,-0.5699691772460938,0.21875,1.25,-0.6071193260614995,P3_LARGE_JUMP_WEAK_ADVANTAGE
00000259--f920fb6ddd--10,P3,393,711799077623,1000359,367,436,-1.4671263694763184,0.15625,1.25,-1.2009250391428183,P3_LARGE_JUMP_WEAK_ADVANTAGE
00000259--f920fb6ddd--15,P3,306,1003108832166,1000235,230,229,-1.215728759765625,-0.03125,1.25,-0.5913801910367229,P3_LARGE_JUMP_WEAK_ADVANTAGE
00000259--f920fb6ddd--36,P3,128,2245328873707,1000129,120,168,-0.21543502807617188,-0.59375,1.25,0.37448713773627196,P3_LARGE_JUMP_WEAK_ADVANTAGE
0000025c--0795289e2c--1,P3,82,122184442335,1000087,104,86,0.7192420959472656,0.1875,-1.25,-4.158205982123697,P3_LARGE_JUMP_WEAK_ADVANTAGE
00000261--4ff9c41127--1,P3,164,243537876966,1000170,168,160,0.46901702880859375,-0.0625,-1.25,-2.6694985764782544,P3_LARGE_JUMP_WEAK_ADVANTAGE
00000264--31b802e87a--18,P3,513,1204181078313,1000417,410,407,-0.7829875946044922,-0.25,-1.25,0.4486763828366991,P3_LARGE_JUMP_WEAK_ADVANTAGE
00000269--4014745f93--26,P3,66,1637326159442,1000071,83,68,0.9653472900390625,0.4375,-1.25,-6.070408295514915,P3_LARGE_JUMP_WEAK_ADVANTAGE
0000026a--171a0a1f5c--24,P3,557,1549614320117,1000661,671,622,0.7127285003662109,0.25,-1.25,0.613603720406701,P3_LARGE_JUMP_WEAK_ADVANTAGE
0000026a--171a0a1f5c--25,P3,587,1612624741715,1000799,765,764,1.9657058715820312,-0.25,-1.25,0.14775651771457277,P3_LARGE_JUMP_WEAK_ADVANTAGE
0000026a--171a0a1f5c--34,P3,168,2110734565324,1000235,227,224,0.96612548828125,1.0625,-1.25,-4.597417049805496,P3_LARGE_JUMP_WEAK_ADVANTAGE
0000026d--2363789071--39,P3,202,2463723070247,1000101,110,101,-0.7807846069335938,-0.0625,-1.25,1.6248666505109792,P3_LARGE_JUMP_WEAK_ADVANTAGE
0000026d--2363789071--96,P3,89,5872522746340,1000137,163,133,-1.0344886779785156,-0.34375,-1.25,1.144684291337388,P3_LARGE_JUMP_WEAK_ADVANTAGE
00000273--d384c0a41a--23,P3,288,1463010057299,1000194,200,190,0.26879119873046875,0.3125,1.25,0.07494239192716678,P3_LARGE_JUMP_WEAK_ADVANTAGE
00000280--91181081d4--25,P3,226,3987810112873,1000276,276,260,-0.5809040069580078,-0.09375,1.25,-1.230611609026736,P3_LARGE_JUMP_WEAK_ADVANTAGE
00000280--91181081d4--4,P3,99,2715281875066,1000110,98,114,0.7807426452636719,-0.21875,1.25,1.5696403802737424,P3_LARGE_JUMP_WEAK_ADVANTAGE
00000247--b657952782--21,P3,371,1368153317940,1000351,339,338,-0.7283554077148438,0.125,1.0,-1.0120599038774634,P3_LARGE_JUMP_WEAK_ADVANTAGE
00000247--b657952782--7,P3,45,495633003394,1000058,57,56,-2.271879196166992,-0.5625,-1.0,0.0,P3_LARGE_JUMP_WEAK_ADVANTAGE
00000254--0ac259250e--22,P3,421,1417569973236,1000480,505,464,0.7318124771118164,0.375,-1.0,0.04405083885074501,P3_LARGE_JUMP_WEAK_ADVANTAGE
00000254--0ac259250e--29,P3,291,1824540752788,1000282,275,287,-0.7183628082275391,-0.40625,1.0,-0.8103656772237497,P3_LARGE_JUMP_WEAK_ADVANTAGE
00000264--31b802e87a--31,P3,553,1988262041467,1000499,461,458,-1.2259368896484375,0.0,1.0,-1.0641024134745836,P3_LARGE_JUMP_WEAK_ADVANTAGE
00000266--f9c40304ea--10,P3,547,727436531480,1000526,481,501,-0.47283935546875,0.03125,1.0,-0.2954451485890248,P3_LARGE_JUMP_WEAK_ADVANTAGE
00000266--f9c40304ea--10,P3,548,727536735222,1000526,481,501,-0.47263145446777344,0.03125,1.0,-0.5008903450092512,P3_LARGE_JUMP_WEAK_ADVANTAGE
00000267--5bcd0e5bb8--16,P3,242,3193246530691,1000146,167,130,-1.0255584716796875,0.5625,-1.0,-0.8024934302011717,P3_LARGE_JUMP_WEAK_ADVANTAGE
00000267--5bcd0e5bb8--4,P3,202,2469366251872,1000285,269,274,0.779266357421875,0.3125,1.0,-1.2002283616393412,P3_LARGE_JUMP_WEAK_ADVANTAGE
00000269--4014745f93--14,P3,466,957395924040,1000517,488,485,-1.5254058837890625,-0.71875,-1.0,1.0679786276694643,P3_LARGE_JUMP_WEAK_ADVANTAGE
0000026b--4dfb361eee--0,P3,406,2334495262327,1000555,506,502,-0.7777252197265625,-0.96875,-1.0,0.0,P3_LARGE_JUMP_WEAK_ADVANTAGE
0000027f--cb2a133365--20,P3,441,1316348086696,1000604,564,548,1.2210578918457031,1.3125,-1.0,-6.044932162927968,P3_LARGE_JUMP_WEAK_ADVANTAGE
00000285--27dca1de75--10,P3,132,781311565075,1000093,87,91,0.7240486145019531,0.1875,-1.0,1.170262947968481,P3_LARGE_JUMP_WEAK_ADVANTAGE
00000285--27dca1de75--2,P3,303,318392768964,1000452,408,407,0.7164535522460938,0.375,-1.0,-0.32602126982949553,P3_LARGE_JUMP_WEAK_ADVANTAGE
00000294--307ed6c5e3--1,P3,11,169534619159,1000001,13,2,2.2218780517578125,0.625,-1.0,1.2100111344565996,P3_LARGE_JUMP_WEAK_ADVANTAGE
00000294--307ed6c5e3--19,P3,453,1293603742121,1000659,628,627,-0.5284309387207031,0.78125,-1.0,0.0,P3_LARGE_JUMP_WEAK_ADVANTAGE
0000029b--52f66a3abc--30,P3,133,1910431812651,1000084,93,79,1.5356788635253906,-0.28125,1.0,-3.97192281622108,P3_LARGE_JUMP_WEAK_ADVANTAGE
