case,route,segment,scan_s,scan_ns,raw_slot,raw_track_id,physical_pid,public_id,d_rel_m,y_rel_m,v_rel_mps,members,representative,camera_assoc,oem_word1,published,state,prior_gt
R264_S6_SPLIT,route264,6,3.800022,436761905846,0|19|26,1|9|25,1000000,32,3.0,-0.03125,-0.25,1|9|25,1,1,1,1,OBSERVED_QUALIFIED,SAME_SURFACE_FRAGMENT
R264_S6_SPLIT,route264,6,3.899833,436861717045,0|19|26,1|9|25,1000000,32,3.0,0.0,-0.25,1|9|25,1,1,1,1,OBSERVED_QUALIFIED,SAME_SURFACE_FRAGMENT
R264_S6_SPLIT,route264,6,3.99937,436961253904,0|19|26,1|9|25,1000000,32,3.0,0.0,-0.25,1|9|25,1,1,1,1,OBSERVED_QUALIFIED,SAME_SURFACE_FRAGMENT
R264_S6_SPLIT,route264,6,4.099314,437061197840,0|19|26,1|9|25,1000000,32,2.75,0.0,-0.25,1|9|25,1,1,1,1,OBSERVED_QUALIFIED,SAME_SURFACE_FRAGMENT
R264_S6_SPLIT,route264,6,4.200227,437162110808,19|26,9|25,1000000,32,4.75,0.125,-0.25,9|25,9,1,0,1,OBSERVED_QUALIFIED,SAME_SURFACE_FRAGMENT
R264_S6_SPLIT,route264,6,4.200227,437162110808,0,1,1000037,69,2.75,0.0,-0.25,1,1,1,1,1,OBSERVED_QUALIFIED,SAME_SURFACE_FRAGMENT
R264_S6_SPLIT,route264,6,4.299223,437261106445,19|26,9|25,1000000,32,4.75,0.0625,-0.25,9|25,9,1,0,1,OBSERVED_QUALIFIED,SAME_SURFACE_FRAGMENT
R264_S6_SPLIT,route264,6,4.299223,437261106445,0,1,1000037,69,2.75,0.03125,-0.25,1,1,1,1,1,OBSERVED_QUALIFIED,SAME_SURFACE_FRAGMENT
R264_S6_SPLIT,route264,6,4.400056,437361939654,19|26,9|25,1000000,32,4.75,0.0,-0.25,9|25,9,1,0,1,OBSERVED_QUALIFIED,SAME_SURFACE_FRAGMENT
R264_S6_SPLIT,route264,6,4.400056,437361939654,0,1,1000037,69,2.5,0.03125,-0.25,1,1,1,1,1,OBSERVED_QUALIFIED,SAME_SURFACE_FRAGMENT
