segment_s,scan_ns,slot,raw_id,physical_pid,public_id,d_rel_m,y_rel_m,v_rel_mps,members,representative,camera,oem,published
29.486449,6851389649510,10,1545,1001684,54,20.0,-3.15625,-5.25,1545,1545,1,0,0
29.486449,6851389649510,22,1549,1001688,59,103.0,-2.4375,-0.5,1549,1549,0,0,1
29.486449,6851389649510,30,1558,1001697,63,95.5,1.9375,-29.5,1558,1558,0,0,1
29.486449,6851389649510,25,1555,1001698,67,12.75,3.3125,-29.75,1555,1555,0,0,1
29.486449,6851389649510,14,1560,1001699,92,48.0,2.5,-29.5,1560,1560,0,0,1
29.486449,6851389649510,2,1561,1001700,42,34.75,2.96875,-29.5,1561,1561,0,0,1
29.486449,6851389649510,8,1562,1001701,86,44.75,2.65625,-29.5,1562,1562,0,0,1
29.486449,6851389649510,5,1563,1001702,77,38.75,2.96875,-29.75,1563,1563,0,0,1
29.486449,6851389649510,13,1564,1001703,55,26.75,3.125,-29.5,1564,1564,0,0,1
29.486449,6851389649510,15,1565,1001704,47,18.75,3.25,-29.5,1565,1565,0,0,1
29.486449,6851389649510,17,1566,1001705,90,51.0,2.65625,-29.5,1566,1566,0,0,1
29.585723,6851488923794,9,10,1000009,41,79.75,-0.78125,0.0,10,10,0,1,1
29.585723,6851488923794,27,1118,1001215,48,12.0,-3.03125,-5.75,1118,1118,1,0,1
29.585723,6851488923794,16,1366,1001490,34,66.75,-3.5,-4.75,1366,1366,0,0,1
29.585723,6851488923794,11,1527,1001664,50,19.5,3.125,-29.5,1527,1527,0,0,1
29.585723,6851488923794,10,1545,1001684,54,19.75,-3.125,-5.25,1545,1545,0,0,1
29.585723,6851488923794,22,1549,1001688,59,103.0,-2.34375,-0.5,1549,1549,0,0,1
29.585723,6851488923794,30,1558,1001697,63,92.75,2.03125,-29.5,1558,1558,0,0,1
29.585723,6851488923794,25,1555,1001698,67,9.75,3.34375,-29.75,1555,1555,0,0,1
29.585723,6851488923794,14,1560,1001699,92,44.75,2.71875,-29.5,1560,1560,0,0,1
29.585723,6851488923794,2,1561,1001700,42,31.75,2.875,-29.75,1561,1561,0,0,1
29.585723,6851488923794,8,1562,1001701,86,41.75,2.6875,-29.75,1562,1562,0,0,1
29.585723,6851488923794,5,1563,1001702,77,35.75,3.03125,-29.75,1563,1563,0,0,1
29.585723,6851488923794,13,1564,1001703,55,24.25,3.125,-29.5,1564,1564,0,0,1
29.585723,6851488923794,15,1565,1001704,47,15.75,3.21875,-29.5,1565,1565,0,0,1
29.585723,6851488923794,17,1566,1001705,90,48.0,2.71875,-29.5,1566,1566,0,0,1
29.685912,6851589112713,9,10,1000009,41,79.75,-0.90625,0.0,10,10,0,1,1
29.685912,6851589112713,27,1118,1001215,48,11.5,-3.0,-5.75,1118,1118,1,0,1
29.685912,6851589112713,16,1366,1001490,34,66.25,-3.625,-4.5,1366,1366,0,0,1
29.685912,6851589112713,11,1527,1001664,50,17.0,3.15625,-29.5,1527,1527,0,0,1
29.685912,6851589112713,10,1545,1001684,54,19.0,-3.15625,-5.25,1545,1545,0,0,1
29.685912,6851589112713,22,1549,1001688,59,103.0,-2.65625,-0.5,1549,1549,0,0,1
29.685912,6851589112713,30,1558,1001697,63,90.0,2.15625,-29.5,1558,1558,0,0,1
29.685912,6851589112713,25,1555,1001698,67,7.0,3.25,-29.75,1555,1555,0,0,1
29.685912,6851589112713,14,1560,1001699,92,41.75,2.8125,-29.5,1560,1560,0,0,1
29.685912,6851589112713,2,1561,1001700,42,29.25,2.84375,-29.75,1561,1561,0,0,1
29.685912,6851589112713,8,1562,1001701,86,39.0,2.75,-29.75,1562,1562,0,0,1
29.685912,6851589112713,5,1563,1001702,77,33.0,3.125,-29.75,1563,1563,0,0,1
29.685912,6851589112713,13,1564,1001703,55,21.5,3.125,-29.5,1564,1564,0,0,1
29.685912,6851589112713,17,1566,1001705,90,45.25,2.875,-29.25,1566,1566,0,0,1
29.786374,6851689574549,9,10,1000009,41,79.75,-0.75,0.0,10,10,0,1,1
29.786374,6851689574549,27,1118,1001215,48,10.75,-3.0,-5.75,1118,1118,1,0,1
29.786374,6851689574549,16,1366,1001490,34,65.5,-3.65625,-4.5,1366,1366,0,0,1
29.786374,6851689574549,11,1527,1001664,50,13.25,3.15625,-29.75,1527,1527,0,0,1
29.786374,6851689574549,10,1545,1001684,54,18.25,-3.4375,-5.25,1545,1545,1,0,1
29.786374,6851689574549,22,1549,1001688,59,103.0,-2.65625,-0.75,1549,1549,0,0,1
29.786374,6851689574549,30,1558,1001697,63,86.25,2.09375,-29.75,1558,1558,0,0,1
29.786374,6851689574549,8|14,1560|1562,1001699,92,38.25,2.875,-29.75,1560|1562,1560,0,0,1
29.786374,6851689574549,2,1561,1001700,42,26.0,2.90625,-29.75,1561,1561,0,0,1
29.786374,6851689574549,5,1563,1001702,77,29.25,3.15625,-29.5,1563,1563,0,0,1
29.786374,6851689574549,13,1564,1001703,55,17.75,3.125,-29.5,1564,1564,0,0,1
29.786374,6851689574549,17,1566,1001705,90,41.75,2.96875,-29.25,1566,1566,0,0,1
29.886422,6851789622454,9,10,1000009,41,79.75,-0.375,0.0,10,10,0,1,1
29.886422,6851789622454,16,1366,1001490,34,65.25,-3.46875,-4.75,1366,1366,0,0,1
29.886422,6851789622454,11,1527,1001664,50,10.5,3.15625,-29.75,1527,1527,0,0,1
29.886422,6851789622454,10,1545,1001684,54,17.75,-3.40625,-5.25,1545,1545,0,0,1
29.886422,6851789622454,22,1549,1001688,59,103.0,-2.78125,-0.75,1549,1549,0,0,1
29.886422,6851789622454,30,1558,1001697,63,83.5,1.9375,-29.75,1558,1558,0,0,1
29.886422,6851789622454,8|14,1560|1562,1001699,92,35.5,2.875,-29.75,1560|1562,1560,0,0,1
29.886422,6851789622454,2,1561,1001700,42,24.25,2.96875,-29.75,1561,1561,0,0,1
29.886422,6851789622454,5,1563,1001702,77,26.5,3.125,-29.75,1563,1563,0,0,1
29.886422,6851789622454,13,1564,1001703,55,16.25,3.28125,-29.75,1564,1564,0,0,1
29.886422,6851789622454,17,1566,1001705,90,39.5,2.65625,-29.25,1566,1566,0,0,1
29.886422,6851789622454,18,1567,1001706,61,16.75,3.59375,-29.75,1567,1567,0,0,1
29.986157,6851889357309,9,10,1000009,41,79.75,-0.3125,0.0,10,10,0,1,1
29.986157,6851889357309,16,1366,1001490,34,64.75,-3.5625,-4.75,1366,1366,0,0,1
29.986157,6851889357309,11,1527,1001664,50,7.25,3.1875,-29.75,1527,1527,0,0,1
29.986157,6851889357309,10,1545,1001684,54,17.0,-3.28125,-5.25,1545,1545,0,0,1
29.986157,6851889357309,22,1549,1001688,59,103.0,-2.78125,-0.75,1549,1549,0,0,1
29.986157,6851889357309,30,1558,1001697,63,80.0,2.09375,-29.75,1558,1558,0,0,1
29.986157,6851889357309,8|14,1560|1562,1001699,92,32.0,3.1875,-29.5,1560|1562,1560,0,0,1
29.986157,6851889357309,2,1561,1001700,42,21.0,3.0,-29.75,1561,1561,0,0,1
29.986157,6851889357309,5,1563,1001702,77,23.0,3.1875,-29.75,1563,1563,0,0,1
29.986157,6851889357309,13,1564,1001703,55,12.75,3.3125,-29.75,1564,1564,0,0,1
29.986157,6851889357309,17,1566,1001705,90,36.0,2.875,-29.5,1566,1566,0,0,1
30.085834,6851989034177,9,10,1000009,41,79.75,-0.25,0.0,10,10,0,1,1
30.085834,6851989034177,16,1366,1001490,34,64.25,-3.8125,-4.75,1366,1366,0,0,1
30.085834,6851989034177,10,1545,1001684,54,16.5,-3.25,-5.25,1545,1545,0,0,1
30.085834,6851989034177,22,1549,1001688,59,102.75,-2.65625,-0.75,1549,1549,0,0,1
30.085834,6851989034177,30,1558,1001697,63,77.5,1.96875,-29.75,1558,1558,0,0,1
30.085834,6851989034177,8|14,1560|1562,1001699,92,29.25,3.28125,-29.25,1560|1562,1560,0,0,1
30.085834,6851989034177,2|5,1561|1563,1001700,42,18.25,3.03125,-29.75,1561|1563,1561,0,0,1
30.085834,6851989034177,13,1564,1001703,55,10.0,3.3125,-29.75,1564,1564,0,0,1
30.085834,6851989034177,17,1566,1001705,90,33.0,3.0625,-29.5,1566,1566,0,0,1
30.085834,6851989034177,19,1568,1001707,35,112.5,2.3125,-29.75,1568,1568,0,0,1
30.185798,6852088998745,9,10,1000009,41,79.75,-0.1875,-0.25,10,10,0,1,1
30.185798,6852088998745,16,1366,1001490,34,63.75,-3.96875,-4.75,1366,1366,0,0,1
30.185798,6852088998745,10,1545,1001684,54,16.0,-3.3125,-5.5,1545,1545,0,0,1
30.185798,6852088998745,22,1549,1001688,59,102.75,-2.6875,-1.0,1549,1549,0,0,1
30.185798,6852088998745,30,1558,1001697,63,74.25,1.96875,-29.75,1558,1558,0,0,1
30.185798,6852088998745,8|14,1560|1562,1001699,92,26.5,3.28125,-29.25,1560|1562,1560,0,0,1
30.185798,6852088998745,2|5,1561|1563,1001700,42,15.25,3.0625,-29.75,1561|1563,1561,0,0,1
30.185798,6852088998745,13,1564,1001703,55,7.0,3.3125,-29.75,1564,1564,0,0,1
30.185798,6852088998745,17,1566,1001705,90,30.0,3.25,-29.75,1566,1566,0,0,1
30.185798,6852088998745,19,1568,1001707,35,109.25,2.3125,-30.0,1568,1568,0,0,1
30.185798,6852088998745,20,1569,1001708,89,126.0,-0.0625,-29.75,1569,1569,0,0,1
30.286168,6852189368237,9,10,1000009,41,79.75,-0.28125,-0.25,10,10,0,1,1
30.286168,6852189368237,16,1366,1001490,34,63.25,-3.84375,-5.0,1366,1366,0,0,1
30.286168,6852189368237,10,1545,1001684,54,15.5,-3.25,-5.5,1545,1545,0,0,1
30.286168,6852189368237,22,1549,1001688,59,102.75,-2.65625,-1.0,1549,1549,0,0,1
30.286168,6852189368237,30,1558,1001697,63,71.75,1.9375,-29.75,1558,1558,0,0,1
30.286168,6852189368237,8|14,1560|1562,1001699,92,24.0,3.34375,-29.25,1560|1562,1560,0,0,1
30.286168,6852189368237,2|5,1561|1563,1001700,42,12.5,3.0625,-29.75,1561|1563,1561,0,0,1
30.286168,6852189368237,17,1566,1001705,90,27.25,3.3125,-29.75,1566,1566,0,0,1
30.286168,6852189368237,19,1568,1001707,35,106.75,2.375,-30.0,1568,1568,0,0,1
30.286168,6852189368237,20,1569,1001708,89,123.5,0.09375,-29.75,1569,1569,0,0,1
30.286168,6852189368237,21,1570,1001709,62,51.25,3.0,-29.75,1570,1570,0,0,1
30.286168,6852189368237,23,1571,1001710,36,69.5,8.625,-5.0,1571,1571,0,0,1
30.386035,6852289235413,9,10,1000009,41,79.75,-0.40625,-0.25,10,10,0,1,1
30.386035,6852289235413,16,1366,1001490,34,62.75,-3.6875,-4.75,1366,1366,0,0,1
30.386035,6852289235413,10,1545,1001684,54,14.75,-3.25,-5.75,1545,1545,0,0,1
30.386035,6852289235413,22,1549,1001688,59,102.5,-2.3125,-1.0,1549,1549,0,0,1
30.386035,6852289235413,30,1558,1001697,63,68.5,2.3125,-29.75,1558,1558,0,0,1
30.386035,6852289235413,8|14,1560|1562,1001699,92,20.75,3.34375,-29.25,1560|1562,1560,0,0,1
30.386035,6852289235413,2|5,1561|1563,1001700,42,9.25,3.0625,-30.0,1561|1563,1561,0,0,1
30.386035,6852289235413,17,1566,1001705,90,24.25,3.375,-29.75,1566,1566,0,0,1
30.386035,6852289235413,20,1569,1001708,89,120.0,0.125,-30.0,1569,1569,0,0,1
30.386035,6852289235413,21,1570,1001709,62,48.0,3.28125,-29.75,1570,1570,0,0,1
30.386035,6852289235413,24,1572,1001711,75,126.0,1.15625,-29.75,1572,1572,0,0,1
30.485645,6852388845620,9,10,1000009,41,79.75,-0.5625,-0.25,10,10,0,1,1
30.485645,6852388845620,16,1366,1001490,34,62.25,-3.78125,-4.75,1366,1366,0,0,1
30.485645,6852388845620,10,1545,1001684,54,14.25,-3.25,-5.75,1545,1545,0,0,1
30.485645,6852388845620,22,1549,1001688,59,102.5,-2.4375,-1.25,1549,1549,0,0,1
30.485645,6852388845620,30,1558,1001697,63,65.5,2.5625,-30.0,1558,1558,0,0,1
30.485645,6852388845620,8|14,1560|1562,1001699,92,18.0,3.40625,-29.25,1560|1562,1560,0,0,1
30.485645,6852388845620,2|5,1561|1563,1001700,42,6.5,3.09375,-30.0,1561|1563,1561,0,0,1
30.485645,6852388845620,17,1566,1001705,90,21.25,3.4375,-29.75,1566,1566,0,0,1
30.485645,6852388845620,20,1569,1001708,89,117.25,0.3125,-30.0,1569,1569,0,0,1
