event_id,key,scan,scan_ns,pid,category,old_members,new_members,old_representative,new_representative,old_rep_still_member,required_change,delta_d,delta_y,delta_v,abs_delta_d,abs_delta_y,abs_delta_v,old_published,new_published,old_alias,new_alias,publication_effect,publication_delta_d,publication_delta_y,publication_delta_v,publication_delta_aLead,radarstate_effect,radarstate_affected,score_delta,old_cost,new_cost,best_vision,old_vision,best_oem,old_oem,support_superiority,group_size_before,group_size_after,old_d,old_y,old_v,old_age,new_d,new_y,new_v,new_age,old_aRel,new_aRel,old_member_current_d,old_member_current_y,old_member_current_v,old_member_current_age,old_member_current_slot,old_member_current_measurement_ns,new_member_current_d,new_member_current_y,new_member_current_v,new_member_current_age,new_member_current_slot,new_member_current_measurement_ns,old_published_aLead,new_published_aLead,lead_role_before,lead_role_after,previous_rep_dwell_scans,previous_rep_dwell_s
00000273--d384c0a41a--42:343:1000282,00000273--d384c0a41a--42,343,2608530644329,1000282,R2_MEMBER_DISAPPEAR_REP_CHANGE,158|272|314,272|314,158,314,0,1,-1.75,0.0625,-0.5,1.75,0.0625,0.5,1,1,38,38,P2_PUBLISHED_COORDINATE_CHANGE,-1.7630724906921387,0.0625,-0.5,-1.0404519422940162,A_LEAD_CHANGED,1,,,2.081544610463075,1,0,0,0,1,3,2,4.0,0.0,0.5,53,2.25,0.0625,0.0,54,N/A_NAN,N/A_NAN,,,,,,,2.25,0.0625,0.0,10,16,2608530644329,0.7012521784577859,-0.3391997638362303,lead_one,lead_one,40,3.90026354
00000273--d384c0a41a--42:366:1000282,00000273--d384c0a41a--42,366,2610830213550,1000282,R2_MEMBER_DISAPPEAR_REP_CHANGE,272|314,272,314,272,0,1,-0.25,-0.03125,0.0,0.25,0.03125,0.0,1,1,38,38,P2_PUBLISHED_COORDINATE_CHANGE,0.25,0.03125,0.0,8.296439371323897e-06,A_LEAD_CHANGED,1,,,,0,0,0,0,0,2,1,2.0,0.03125,0.0,76,1.75,0.0,0.0,77,N/A_NAN,N/A_NAN,,,,,,,1.75,0.0,0.0,73,9,2610830213550,-2.074109842830974e-05,-1.2444659056985843e-05,lead_one,lead_one,23,2.199549719
0000027f--cb2a133365--27:401:1000000,0000027f--cb2a133365--27,401,1732399504763,1000000,R2_MEMBER_DISAPPEAR_REP_CHANGE,1|76,76,1,76,0,1,-0.5,0.0,-0.25,0.5,0.0,0.25,1,1,32,32,P2_PUBLISHED_COORDINATE_CHANGE,0.24474835395812988,0.0,-0.25,-0.5725243562862192,A_LEAD_CHANGED,1,,,,0,0,0,0,0,2,1,4.25,0.125,1.0,401,3.75,0.125,0.75,402,N/A_NAN,N/A_NAN,,,,,,,3.75,0.125,0.75,99,31,1732399504763,0.9702719850222841,0.39774762873606484,lead_one,lead_one,401,39.990349916
0000027f--cb2a133365--5:33:1000001,0000027f--cb2a133365--5,33,375648696988,1000001,R4_GROUP_SPLIT_REP_CHANGE,2|3|34,3,2,3,0,1,-1.75,-0.75,-0.25,1.75,0.75,0.25,1,1,33,33,P2_PUBLISHED_COORDINATE_CHANGE,-1.7611212730407715,-0.75,-0.25,-0.6382732718902717,A_LEAD_CHANGED,1,,,,0,0,0,0,0,3,1,5.25,0.40625,-0.75,33,3.5,-0.34375,-1.0,34,N/A_NAN,N/A_NAN,,,,,,,3.5,-0.34375,-1.0,34,6,375648696988,0.057314477638662605,-0.5809587942516091,lead_one,lead_one,33,3.201295038
00000280--91181081d4--21:124:1000004,00000280--91181081d4--21,124,3737640530849,1000004,R1_STABLE_GROUP_REP_CHANGE,5|8,5|8,5,8,1,0,-1.25,0.25,0.0,1.25,0.25,0.0,1,1,36,36,P2_PUBLISHED_COORDINATE_CHANGE,-0.49829864501953125,0.09375,0.0,-0.11177049748054435,A_LEAD_CHANGED,1,0.022678849665489054,1.1216582052570734,1.0989793555915843,1,1,1,0,1,2,2,31.0,-0.4375,-2.75,124,29.75,-0.1875,-2.75,125,N/A_NAN,N/A_NAN,31.5,0.0,-2.5,125,12,3737640530849,29.75,-0.1875,-2.75,125,18,3737640530849,-0.7964558841301435,-0.9082263816106878,lead_one,lead_one,124,12.299249568
00000280--91181081d4--44:268:1000197,00000280--91181081d4--44,268,5132339904120,1000197,R4_GROUP_SPLIT_REP_CHANGE,184|192|219,192|219,184,219,0,1,3.0,-0.5,0.0,3.0,0.5,0.0,1,1,59,59,P2_PUBLISHED_COORDINATE_CHANGE,3.002884864807129,-0.5,0.0,-0.014386407258264011,LEAD_LOSS,1,,,3.225168518080137,1,0,0,0,1,3,2,12.25,-0.03125,0.25,116,15.25,-0.53125,0.25,117,N/A_NAN,N/A_NAN,,,,,,,15.25,-0.53125,0.25,38,9,5132330428216,0.5735745645726787,0.5591881573144147,lead_one,,116,11.509727068
00000280--91181081d4--44:278:1000197,00000280--91181081d4--44,278,5133339785264,1000197,R4_GROUP_SPLIT_REP_CHANGE,184|219|228,184|228,219,228,0,1,-1.25,-0.6875,0.0,1.25,0.6875,0.0,1,1,59,59,P2_PUBLISHED_COORDINATE_CHANGE,-1.2492504119873047,-0.6875,0.0,-0.13625689594845447,A_LEAD_CHANGED,1,,,1.645112547386854,0,0,0,0,0,3,2,15.75,0.75,0.5,126,14.5,0.0625,0.5,127,N/A_NAN,N/A_NAN,,,,,,,14.5,0.0625,0.5,26,3,5133330283727,0.5731248016997125,0.436867905751258,lead_one,lead_one,10,0.900258167
00000280--91181081d4--44:285:1000197,00000280--91181081d4--44,285,5134040880265,1000197,R4_GROUP_SPLIT_REP_CHANGE,184|228,184,228,184,0,1,-1.75,0.15625,0.5,1.75,0.15625,0.5,1,1,59,59,P2_PUBLISHED_COORDINATE_CHANGE,-1.7422618865966797,0.15625,0.5,1.002138144553018,A_LEAD_CHANGED,1,,,,0,0,0,0,0,2,1,15.0,-0.03125,0.5,133,13.25,0.125,1.0,134,N/A_NAN,N/A_NAN,,,,,,,13.25,0.125,1.0,134,20,5134040880265,-0.05026038605784006,0.9518777584951779,lead_one,lead_one,7,0.600973266
00000283--b395338ef9--45:175:1000175,00000283--b395338ef9--45,175,3603186798264,1000175,R1_STABLE_GROUP_REP_CHANGE,168|171,168|171,171,168,1,0,-0.5,0.125,0.0,0.5,0.125,0.0,1,1,68,68,P2_PUBLISHED_COORDINATE_CHANGE,0.005496978759765625,0.0,0.0,-0.23270784280583778,A_LEAD_CHANGED,1,0.1369999873466199,0.382145878032351,0.24514589068573112,1,1,1,0,1,2,2,26.75,0.84375,-3.5,77,26.25,0.96875,-3.5,78,N/A_NAN,N/A_NAN,26.75,0.84375,-3.5,78,29,3603186798264,26.25,0.96875,-3.5,77,27,3603186798264,0.6251465782476407,0.39243873544180297,lead_one,lead_one,77,7.598637485
00000283--b395338ef9--45:464:1000452,00000283--b395338ef9--45,464,3632096938021,1000452,R4_GROUP_SPLIT_REP_CHANGE,431|511|527,511|527,431,511,0,1,1.25,-0.21875,0.25,1.25,0.21875,0.25,1,1,56,56,P2_PUBLISHED_COORDINATE_CHANGE,1.2544240951538086,-0.21875,0.25,0.1870002489042061,A_LEAD_CHANGED,1,,,1.982406085649441,1,0,0,0,1,3,2,10.25,0.125,-5.0,109,11.5,-0.09375,-4.75,110,N/A_NAN,N/A_NAN,,,,,,,11.5,-0.09375,-4.75,33,1,3632096938021,-0.020145508361557124,0.16685474054264898,lead_one,lead_one,109,10.800446879
